name,platform,release_date,score,user_score,developer,genre,critics,users
Inside My Radio,PC,11-May-15,68.0,7.2,SeavenStudio,"Action,Platformer,2D",8.0,6.0
Final Fantasy X / X-2 HD Remaster,PlayStation4,12-May-15,84.0,8.3,Virtuos,"Miscellaneous,Compilation",30.0,588.0
Project CARS,PlayStation4,12-May-15,83.0,6.6,SlightlyMadStudios,"Driving,Racing,Simulation,General,Automobile",37.0,430.0
"Invisible, Inc.",PC,12-May-15,82.0,7.9,KleiEntertainment,"Sci-Fi,Strategy,Turn-Based,General,Tactics",45.0,175.0
Project CARS,XboxOne,12-May-15,81.0,5.8,SlightlyMadStudios,"Driving,Racing,Simulation,General,Automobile",16.0,154.0
Lost Orbit,PlayStation4,12-May-15,77.0,7.1,PixelNAUTS,"Action,Platformer,2D",19.0,23.0
Lemma,PC,12-May-15,73.0,7.7,EvanTodd,"Action Adventure,Linear",8.0,7.0
Nom Nom Galaxy,PlayStation4,12-May-15,70.0,7,Q-Games,"Action,General",16.0,41.0
Axiom Verge,PC,14-May-15,80.0,7.7,TomHapp,"Action Adventure,Sci-Fi,Sci-Fi,General",11.0,98.0
Not a Hero,PC,14-May-15,75.0,6.9,roll7,"Action,General,Platformer,Shooter,2D,Shoot-'Em-Up,Horizontal",57.0,51.0
The Witcher 3: Wild Hunt,PC,18-May-15,93.0,9.4,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",32.0,17537.0
The Witcher 3: Wild Hunt,PlayStation4,19-May-15,92.0,9.2,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",79.0,15749.0
The Witcher 3: Wild Hunt,XboxOne,19-May-15,91.0,9.2,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",13.0,4799.0
Life is Strange: Episode 3 - Chaos Theory,PlayStation4,19-May-15,81.0,8.2,DONTNODEntertainment,"Action Adventure,General",33.0,232.0
Life is Strange: Episode 3 - Chaos Theory,XboxOne,19-May-15,80.0,8.4,DONTNODEntertainment,"Action Adventure,General",12.0,72.0
Life is Strange: Episode 3 - Chaos Theory,PC,19-May-15,80.0,8.8,DONTNODEntertainment,"Action Adventure,General",8.0,252.0
Destiny: House of Wolves,PlayStation4,19-May-15,72.0,4.2,Bungie,"Action,Shooter,First-Person,Arcade",31.0,237.0
Mega Coin Squad,XboxOne,20-May-15,74.0,6.4,BigPixelStudios,"Action,Platformer,2D",9.0,7.0
Technobabylon,PC,21-May-15,82.0,7.8,Technocrat,"Adventure,General,Point-and-Click",26.0,71.0
Sunset,PC,21-May-15,66.0,2.8,TaleofTales,"Modern,Adventure,3D,First-Person",34.0,64.0
Spy Chameleon,XboxOne,22-May-15,71.0,6.4,UnfinishedPixel,"Puzzle,Action,General",10.0,12.0
ZEN Pinball 2: Portal Pinball,PlayStation4,26-May-15,83.0,4.9,ZenStudios,"Action,Pinball",8.0,14.0
Game of Thrones: Episode Four - Sons of Winter,XboxOne,26-May-15,80.0,7.1,TelltaleGames,"Action,Adventure,General,Point-and-Click",8.0,26.0
Game of Thrones: Episode Four - Sons of Winter,PC,26-May-15,77.0,7.7,TelltaleGames,"Action,Adventure,General,Point-and-Click",27.0,84.0
Audiosurf 2,PC,26-May-15,76.0,7.1,BestGameEver.com,"Miscellaneous,Music,Action,Rhythm,Music",7.0,41.0
Game of Thrones: Episode Four - Sons of Winter,PlayStation4,26-May-15,73.0,7,TelltaleGames,"Action,Adventure,General,Point-and-Click",15.0,46.0
Magicka 2,PlayStation4,26-May-15,72.0,6.3,PiecesInteractive,"Fantasy,Action Adventure,General",18.0,94.0
Ultra Street Fighter IV,PlayStation4,26-May-15,71.0,6.3,OtherOceanInteractive,"Action,Fighting,2D",28.0,116.0
Magicka 2,PC,26-May-15,69.0,5.9,PiecesInteractive,"Fantasy,Action Adventure,General",37.0,92.0
0RBITALIS,PC,28-May-15,73.0,7.3,AlanZucconi,"Miscellaneous,Puzzle,Action",9.0,4.0
Homesick,PC,28-May-15,72.0,7.1,LuckyPause,"Adventure,3D,First-Person",8.0,25.0
BADLAND: Game of the Year Edition,XboxOne,29-May-15,69.0,5.7,Frogmind,"Action,Action Adventure,Arcade,Linear",8.0,13.0
Massive Chalice,PC,1-Jun-15,73.0,6,DoubleFineProductions,"Strategy,Turn-Based,Fantasy,General,Fantasy,Tactics",28.0,82.0
Massive Chalice,XboxOne,1-Jun-15,72.0,6.8,DoubleFineProductions,"Strategy,Turn-Based,General,Fantasy,Tactics",15.0,49.0
Heroes of the Storm,PC,2-Jun-15,86.0,6.4,BlizzardEntertainment,"Action,Strategy,Real-Time,General,MOBA",57.0,1445.0
The Escapists,PlayStation4,2-Jun-15,71.0,6.2,MouldyToofStudios,"Action,General",21.0,33.0
Super Exploding Zoo,PlayStation4,2-Jun-15,69.0,4.9,HoneyslugLtd,"Miscellaneous,Puzzle,General",7.0,36.0
