name,platform,release_date,score,user_score,developer,genre,critics,users
Full Throttle,PC,30-Apr-95,86.0,8.6,LucasArts,"Adventure,General",8.0,181.0
Duke Nukem 3D,PC,29-Jan-96,89.0,8.7,3DRealms,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",8.0,461.0
Sid Meier's Civilization II,PC,29-Feb-96,94.0,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",7.0,450.0
Bad Mojo,PC,29-Feb-96,74.0,6.9,PulseEntertainment,"Action Adventure,Adventure,General,Horror,General",10.0,13.0
Quake,PC,22-Jun-96,94.0,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",9.0,813.0
Time Commando,PC,31-Jul-96,80.0,8.3,AdelineSoftware,"Action Adventure,Sci-Fi,Sci-Fi,General",7.0,31.0
Circle of Blood,PC,30-Sep-96,80.0,8.3,RevolutionSoftware,"Adventure,General,General,Point-and-Click",9.0,22.0
Master of Orion II: Battle at Antares,PC,1-Oct-96,84.0,8.8,SimTex,"Strategy,Turn-Based,Sci-Fi,4X",9.0,37.0
Command & Conquer: Red Alert,PC,31-Oct-96,90.0,8.8,WestwoodStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",7.0,360.0
Diablo,PC,31-Dec-96,94.0,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",12.0,1161.0
Obsidian,PC,31-Dec-96,85.0,7.1,RocketScienceGames,"Adventure,General,General",9.0,16.0
The Last Express,PC,31-Mar-97,82.0,8.7,SmokingCarProductions,"Adventure,General,General",8.0,71.0
Blood,PC,31-May-97,82.0,8.9,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",7.0,133.0
Total Annihilation,PC,27-Sep-97,86.0,8.8,CavedogEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",10.0,205.0
Sid Meier's Gettysburg!,PC,30-Sep-97,92.0,7.4,FiraxisGames,"Strategy,Real-Time,Wargame,Real-Time,General",7.0,40.0
Age of Empires,PC,30-Sep-97,83.0,8.7,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",9.0,361.0
Star Wars Jedi Knight: Dark Forces II,PC,9-Oct-97,91.0,8.6,LucasArts,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",10.0,199.0
Fallout,PC,9-Oct-97,89.0,8.8,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,PC-style RPG,Western-Style",12.0,1254.0
Myth: The Fallen Lords,PC,31-Oct-97,91.0,8.5,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General,Fantasy",9.0,93.0
The Curse of Monkey Island,PC,31-Oct-97,89.0,9,LucasArts,"Adventure,General,General,Point-and-Click",9.0,323.0
Broken Sword: The Smoking Mirror,PC,31-Oct-97,69.0,7.9,RevolutionSoftware,"Adventure,Third-Person,Point-and-Click,Modern,Modern",11.0,116.0
Starcraft,PC,31-Mar-98,88.0,9.1,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",15.0,1105.0
Emergency: Fighters for Life,PC,31-Jul-98,71.0,7.9,TopWareInteractive,"Strategy,General,General",9.0,10.0
Tom Clancy's Rainbow Six,PC,21-Aug-98,85.0,8.1,RedStormEntertainment,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",13.0,73.0
Shogo: Mobile Armor Division,PC,30-Sep-98,88.0,8.4,MonolithProductions,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",13.0,79.0
Fallout 2,PC,30-Sep-98,86.0,9.1,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,Western-Style",15.0,1437.0
Grim Fandango,PC,14-Oct-98,94.0,9.1,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",15.0,685.0
Blood II: The Chosen,PC,31-Oct-98,72.0,7.2,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",14.0,61.0
Railroad Tycoon II,PC,2-Nov-98,89.0,8.5,PopTopSoftware,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",11.0,94.0
Half-Life,PC,19-Nov-98,96.0,9,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",24.0,4321.0
Thief: The Dark Project,PC,30-Nov-98,92.0,9,LookingGlassStudios,"Action Adventure,Fantasy,General,Fantasy",18.0,397.0
Myth II: Soulblighter,PC,30-Nov-98,88.0,8.7,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General",12.0,72.0
Falcon 4.0,PC,30-Nov-98,85.0,7.8,"Atari,MicroProse","Simulation,Flight,Modern Jet,Modern Jet,Combat",10.0,28.0
Baldur's Gate,PC,21-Dec-98,91.0,8.9,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",16.0,759.0
Sid Meier's Alpha Centauri,PC,12-Feb-99,92.0,8.8,FiraxisGames,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,4X",19.0,249.0
EverQuest,PC,16-Mar-99,85.0,7.9,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",17.0,65.0
Total Annihilation: Kingdoms,PC,23-Jun-99,74.0,8.5,CavedogEntertainment,"Strategy,Real-Time,Fantasy,General,Command",18.0,31.0
Hidden & Dangerous,PC,29-Jul-99,74.0,7.8,IllusionSoftworks,"Action,Shooter,General,Shooter,First-Person,Tactical,Historic",13.0,32.0
System Shock 2,PC,11-Aug-99,92.0,9.1,"LookingGlassStudios,IrrationalGames","Action Adventure,Sci-Fi,Sci-Fi,Survival",20.0,638.0
Homeworld,PC,31-Aug-99,93.0,8.8,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",20.0,383.0
Age of Empires II: The Age of Kings,PC,30-Sep-99,92.0,9.1,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",21.0,1165.0
FreeSpace 2,PC,30-Sep-99,91.0,8.7,VolitionInc.,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",16.0,152.0
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",PC,5-Oct-99,80.0,8.3,SierraEntertainment,"Adventure,General,Point-and-Click",19.0,55.0
Asheron's Call,PC,31-Oct-99,81.0,8.5,TurbineInc.,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy",15.0,24.0
Septerra Core: Legacy of the Creator,PC,31-Oct-99,72.0,7.7,ValkyrieStudios,"Role-Playing,General,General",19.0,73.0
Unreal Tournament (1999),PC,30-Nov-99,92.0,9,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",21.0,601.0
Planescape: Torment,PC,14-Dec-99,91.0,9.2,BlackIsleStudios,"Role-Playing,General,PC-style RPG,Western-Style",22.0,1049.0
Airfix Dogfighter,PC,14-Jan-00,75.0,7.7,ParadoxInteractive,"Simulation,Flight,Modern Jet,Modern Jet,Combat",7.0,39.0
X: Beyond the Frontier,PC,26-Jan-00,67.0,7.4,Egosoft,"Simulation,Sci-Fi,Space,Small Spaceship,Combat",17.0,27.0
Crime Cities,PC,31-Jan-00,71.0,8,Techland,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",7.0,6.0
The Sims,PC,4-Feb-00,92.0,7.9,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",38.0,665.0
Thief II: The Metal Age,PC,23-Mar-00,87.0,8.9,LookingGlassStudios,"Action Adventure,Fantasy,General,Fantasy",18.0,258.0
EverQuest: The Ruins of Kunark,PC,24-Mar-00,86.0,8.5,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy",11.0,31.0
Allegiance,PC,31-Mar-00,86.0,7.3,MicrosoftGameStudios,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",17.0,16.0
StarLancer,PC,31-Mar-00,78.0,7.6,DigitalAnvil,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",18.0,23.0
SimCity 3000 Unlimited,PC,16-May-00,77.0,8.5,Maxis,"Strategy,City Building,Management,Modern,Modern,Government",9.0,66.0
Ground Control,PC,31-May-00,86.0,7.6,MassiveEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",26.0,44.0
MDK2,PC,31-May-00,83.0,7.8,BioWare,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",23.0,87.0
Vampire: The Masquerade - Redemption,PC,7-Jun-00,74.0,8.2,Nihilistic,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",22.0,137.0
Earth 2150,PC,12-Jun-00,78.0,7.8,TopWareInteractive,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",22.0,48.0
Shogun: Total War,PC,13-Jun-00,84.0,8.6,CreativeAssembly,"Strategy,Turn-Based,Real-Time,Historic,Historic,General,Historic",24.0,108.0
Descent 3,PC,14-Jun-00,89.0,7.7,OutrageGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",14.0,47.0
Dracula: The Resurrection,PC,14-Jun-00,67.0,6.5,Canal+Multimedia,"Adventure,First-Person,Point-and-Click,Modern,Fantasy,Modern",13.0,22.0
BreakNeck (2000),PC,21-Jun-00,76.0,6.7,Synetic,"Driving,Racing,Arcade,Arcade,Automobile",16.0,6.0
Star Trek: Klingon Academy,PC,21-Jun-00,74.0,7.2,14DegreesEast,"Simulation,Sci-Fi,Space,Large Spaceship,Large Spaceship,Civilian",14.0,14.0
Deus Ex,PC,23-Jun-00,90.0,9.2,IonStorm,"Action Adventure,Sci-Fi,Sci-Fi,General",28.0,1350.0
Diablo II,PC,29-Jun-00,88.0,8.8,BlizzardNorth,"Role-Playing,Action RPG,Action RPG",34.0,1424.0
Icewind Dale,PC,29-Jun-00,87.0,8.3,BlackIsleStudios,"Role-Playing,PC-style RPG,General,PC-style RPG,Western-Style",29.0,249.0
Dark Reign 2,PC,30-Jun-00,77.0,7.1,PandemicStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",26.0,16.0
Soulbringer,PC,30-Jun-00,70.0,7.8,Infogrames,"Role-Playing,General,General,Action RPG",19.0,30.0
F1 World Grand Prix,PC,1-Jul-00,71.0,6.9,VideoSystem,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",10.0,11.0
Warlords Battlecry,PC,9-Jul-00,82.0,7.6,StrategicStudiesGroup,"Strategy,General,General",19.0,22.0
Cleopatra: Queen of the Nile,PC,11-Jul-00,77.0,7.4,BreakAwayGames,"Strategy,City Building,Management,Historic,Government",13.0,16.0
KISS: Psycho Circus - The Nightmare Child,PC,18-Jul-00,71.0,7.6,ThirdLawInteractive,"Action,Shooter,Shooter,First-Person,Fantasy,Arcade",26.0,22.0
Bang! Gunship Elite,PC,19-Jul-00,68.0,7,RaylandInteractive,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",15.0,5.0
Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,PC,31-Jul-00,86.0,7.2,Razorworks,"Simulation,Flight,Helicopter,Helicopter,Combat,Civilian",11.0,17.0
Metal Fatigue,PC,31-Jul-00,68.0,8.6,ZonoInc.,"Strategy,Real-Time,General,General",20.0,46.0
Submarine Titans,PC,3-Aug-00,69.0,7.5,EllipseStudios,"Strategy,Real-Time,General,General,Command",16.0,30.0
Heavy Metal: F.A.K.K. 2,PC,6-Aug-00,78.0,7.5,RitualEntertainment,"Action,Shooter,Shooter,Third-Person,Fantasy,Arcade",27.0,31.0
Age of Empires II: The Conquerors Expansion,PC,24-Aug-00,88.0,9.1,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",21.0,428.0
Grand Prix 3,PC,24-Aug-00,87.0,7.2,"HasbroInteractive,Atari","Driving,Racing,Simulation,Formula One,Formula One,Automobile",12.0,27.0
Madden NFL 2001,PC,24-Aug-00,78.0,5.8,EASports,"Sports,Traditional,Team,Football,Sim,Sim",13.0,5.0
Microsoft Golf 2001 Edition,PC,24-Aug-00,72.0,7,MicrosoftGameStudios,"Sports,Traditional,Individual,Golf,Sim,Sim",10.0,4.0
The Sims: Livin' Large,PC,27-Aug-00,82.0,7.2,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",23.0,22.0
Homeworld: Cataclysm,PC,7-Sep-00,89.0,8.8,BarkingDog,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",25.0,87.0
Crimson Skies,PC,17-Sep-00,83.0,7.7,ZipperInteractive,"Simulation,Flight,Sci-Fi,Futuristic Jet,Futuristic Jet,Combat",32.0,23.0
Star Trek: Voyager Elite Force,PC,20-Sep-00,86.0,7.8,RavenSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",25.0,67.0
Midtown Madness 2,PC,21-Sep-00,78.0,8.6,"AngelStudios,RockstarSanDiego","Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",27.0,95.0
Baldur's Gate II: Shadows of Amn,PC,24-Sep-00,95.0,9.1,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",30.0,1433.0
Steel Beasts,PC,24-Sep-00,86.0,7.7,eSimGames,"Simulation,Tank,Tank,Vehicle,Combat",13.0,20.0
Metal Gear Solid,PC,24-Sep-00,83.0,8.9,DigitalDialect,"Action Adventure,Modern,General,Modern",23.0,235.0
Sanity: Aiken's Artifact,PC,26-Sep-00,73.0,7,MonolithProductions,"Action,General,General",20.0,11.0
NASCAR Heat,PC,27-Sep-00,81.0,7.7,MonsterGamesInc.,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile",13.0,21.0
Wizards & Warriors,PC,27-Sep-00,70.0,7.4,HeuristicPark,"Role-Playing,General,General",23.0,14.0
Heroes Chronicles: Warlords of the Wasteland,PC,27-Sep-00,67.0,7.8,3DO,"Strategy,General,General",7.0,10.0
NHL 2001,PC,28-Sep-00,90.0,6.6,EASports,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",22.0,47.0
Panzer General III: Scorched Earth,PC,28-Sep-00,71.0,7.4,SSI,"Strategy,Turn-Based,General,General,Tactics",17.0,13.0
RollerCoaster Tycoon: Loopy Landscapes,PC,30-Sep-00,80.0,8.7,ChrisSawyer,"Strategy,Tycoon,Management,Business / Tycoon",12.0,207.0
Frogger 2: Swampy's Revenge,PC,1-Oct-00,72.0,8.3,"HasbroInteractive,BlitzGames","Action,General,General,Platformer,3D",11.0,13.0
Blair Witch Volume I: Rustin Parr,PC,4-Oct-00,73.0,7.6,TerminalReality,"Action Adventure,Horror,Horror,Survival",28.0,29.0
SWAT 3: Elite Edition,PC,6-Oct-00,81.0,8,SierraEntertainment,"Action,Shooter,Shooter,First-Person,Tactical,Modern",9.0,50.0
Superbike 2001,PC,9-Oct-00,88.0,6.6,MilestoneS.r.l,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street",12.0,26.0
Close Combat: Invasion: Normandy,PC,10-Oct-00,79.0,7.6,AtomicGames,"Strategy,Turn-Based,Real-Time,Historic,Tactics",17.0,30.0
Death Track Racing,PC,10-Oct-00,73.0,6.6,AttentionToDetail,"Driving,Racing,Arcade,Futuristic,Futuristic",7.0,5.0
Combat Flight Simulator 2: WWII Pacific Theater,PC,13-Oct-00,83.0,7,MicrosoftGameStudios,"Simulation,Flight,WWII,WWII,Combat",22.0,9.0
Dirt Track Racing: Sprint Cars,PC,19-Oct-00,78.0,8.3,Ratbag,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile",11.0,22.0
Command & Conquer: Red Alert 2,PC,21-Oct-00,84.0,8.9,WestwoodStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",29.0,480.0
Zeus: Master of Olympus,PC,22-Oct-00,87.0,8.7,ImpressionsGames,"Strategy,General,General,Management,Government",23.0,83.0
Links 2001,PC,24-Oct-00,86.0,6.3,MicrosoftGameStudios,"Sports,Traditional,Individual,Golf,Sim,Sim",22.0,6.0
Tony Hawk's Pro Skater 2,PC,25-Oct-00,91.0,8.5,NeversoftEntertainment,"Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard",22.0,204.0
4x4 Evolution,PC,29-Oct-00,73.0,6.5,TerminalReality,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",23.0,19.0
FIFA 2001 Major League Soccer,PC,30-Oct-00,85.0,7,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",14.0,27.0
You Don't Know Jack: 5th Dementia,PC,31-Oct-00,77.0,6.5,Jellyvision,"Miscellaneous,Trivia / Game Show,Trivia / Game Show",8.0,6.0
Sacrifice,PC,5-Nov-00,89.0,8.7,ShinyEntertainment,"Strategy,Real-Time,Fantasy,General,Fantasy",31.0,153.0
Space Empires IV,PC,7-Nov-00,79.0,7.7,MalfadorMachinations,"Strategy,Turn-Based,General,General,4X",13.0,44.0
Rune (2000),PC,7-Nov-00,76.0,7.7,HumanHeadStudios,"Action Adventure,Fantasy,General,Fantasy",26.0,66.0
Delta Force: Land Warrior,PC,7-Nov-00,74.0,7.7,NovaLogic,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",22.0,52.0
Starship Troopers: Terran Ascendancy,PC,7-Nov-00,68.0,7.7,BlueTongueEntertainment,"Action,Strategy,Real-Time,Shooter,First-Person,Sci-Fi,Tactics,Sci-Fi",19.0,54.0
Counter-Strike,PC,8-Nov-00,88.0,9.2,TheCounter-StrikeTeam,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern",11.0,7112.0
Escape from Monkey Island,PC,8-Nov-00,86.0,7.5,LucasArts,"Adventure,3D,Fantasy,Third-Person,Fantasy",32.0,113.0
The Devil Inside,PC,9-Nov-00,76.0,6.1,CryoInteractive,"Adventure,General,General",9.0,14.0
The Operative: No One Lives Forever,PC,11-Nov-00,91.0,8.7,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",32.0,216.0
Virtual Pool 3,PC,14-Nov-00,82.0,7.1,Celeris,"Sports,Miscellaneous,Parlor,Individual,Billiards,Billiards",13.0,12.0
Chessmaster 8000,PC,14-Nov-00,80.0,6.7,Mattel,"Action,Miscellaneous,General,General,Board / Card Game",11.0,6.0
Motocross Mania,PC,14-Nov-00,73.0,6.8,DeibusStudios,"Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross",7.0,4.0
Real Myst,PC,14-Nov-00,66.0,7.8,CyanWorlds,"Adventure,First-Person,Fantasy",15.0,41.0
Star Trek: Deep Space Nine: The Fallen,PC,15-Nov-00,81.0,7.7,DoubleHelixGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Arcade",23.0,19.0
The Longest Journey,PC,16-Nov-00,91.0,8.7,Funcom,"Adventure,Third-Person,Point-and-Click,Fantasy,Fantasy",26.0,523.0
Call to Power II,PC,17-Nov-00,72.0,7.1,Activision,"Strategy,Turn-Based,Historic,General,Historic,4X",21.0,17.0
Hitman: Codename 47,PC,19-Nov-00,73.0,7.5,IoInteractive,"Action Adventure,Modern,Linear",32.0,262.0
Gunman Chronicles,PC,19-Nov-00,65.0,7.1,RewolfSoftware,"Action,General,General",26.0,31.0
MechWarrior 4: Vengeance,PC,23-Nov-00,87.0,7.6,FASAStudio,"Simulation,Sci-Fi,Vehicle,Mech,Combat",26.0,47.0
Sea Dogs,PC,24-Nov-00,71.0,8.3,Akella,"Simulation,Ship,Ship,Marine,Combat,Civilian",15.0,39.0
Sheep,PC,29-Nov-00,73.0,7.3,Minds-EyeProductions,"Action,Strategy,General,General",18.0,9.0
Battle Isle: The Andosia War,PC,29-Nov-00,70.0,7.4,CauldronLtd.,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,General,Tactics",11.0,9.0
F1 Championship Season 2000,PC,30-Nov-00,70.0,7.8,ImageSpaceIncorporated,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",8.0,8.0
EverQuest: The Scars of Velious,PC,4-Dec-00,82.0,7.3,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",9.0,8.0
Giants: Citizen Kabuto,PC,6-Dec-00,85.0,8.6,PlanetMoonStudios,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",27.0,99.0
American McGee's Alice,PC,6-Dec-00,85.0,8,RogueEntertainment,"Action Adventure,Horror,Horror,Survival",34.0,200.0
B-17 Flying Fortress: The Mighty 8th,PC,13-Dec-00,82.0,7.3,WaywardSimulations,"Simulation,Flight,WWII,WWII,Combat",14.0,12.0
Starfleet Command Volume II: Empires at War,PC,13-Dec-00,77.0,6.4,Taldren,"Strategy,Real-Time,General,Tactics",16.0,7.0
Ground Control: Dark Conspiracy,PC,14-Dec-00,77.0,6.6,HighVoltageSoftware,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",7.0,5.0
Dave Mirra Freestyle BMX,PC,15-Dec-00,73.0,7.7,"Z-Axis,Ltd.","Sports,Alternative,Individual,Biking,Biking",13.0,10.0
Project IGI: I'm Going In,PC,15-Dec-00,70.0,7.7,Innerloop,"Action,Shooter,Shooter,First-Person,Tactical,Modern",22.0,90.0
Quake III: Team Arena,PC,18-Dec-00,69.0,7.6,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",21.0,70.0
Sudden Strike,PC,23-Jan-01,69.0,7.7,Fireglow,"Strategy,General,General",16.0,27.0
Oni,PC,28-Jan-01,73.0,8.6,Bungie,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",29.0,95.0
SimCoaster,PC,29-Jan-01,75.0,6.3,BullfrogProductions,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",15.0,7.0
Europa Universalis,PC,2-Feb-01,86.0,7.6,ParadoxDevelopmentStudio,"Strategy,General,General",11.0,40.0
1nsane,PC,5-Feb-01,69.0,7.5,Invictus,"Driving,Racing,Simulation,Rally / Offroad,Automobile",14.0,28.0
NASCAR Racing 4,PC,6-Feb-01,89.0,7.4,Papyrus,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile",14.0,28.0
NBA Live 2001,PC,7-Feb-01,78.0,6.9,EASports,"Sports,Traditional,Team,Basketball,Sim,Sim",13.0,12.0
Dracula: The Last Sanctuary,PC,11-Feb-01,68.0,6.8,Canal+Multimedia,"Adventure,First-Person,Point-and-Click,Modern,Fantasy,Modern",14.0,19.0
Colin McRae Rally 2.0,PC,13-Feb-01,83.0,8.6,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",14.0,100.0
Blade of Darkness,PC,19-Feb-01,75.0,8.6,RebelActStudios,"Role-Playing,Action Adventure,Fantasy,General,Fantasy,Action RPG",17.0,136.0
Icewind Dale: Heart of Winter,PC,19-Feb-01,74.0,7.7,BlackIsleStudios,"Role-Playing,General,PC-style RPG,Western-Style",15.0,62.0
Clive Barker's Undying,PC,21-Feb-01,85.0,8.8,DreamworksGames,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",28.0,184.0
Stupid Invaders,PC,21-Feb-01,65.0,7.8,Xilam,"Adventure,General,General",23.0,12.0
Earth 2150: The Moon Project,PC,11-Mar-01,75.0,7.3,TopWareInteractive,"Strategy,General,General",13.0,23.0
Kohan: Immortal Sovereigns,PC,14-Mar-01,87.0,7.7,TimeGateStudios,"Strategy,Real-Time,General,General,Command",21.0,29.0
Fallout Tactics: Brotherhood of Steel,PC,14-Mar-01,82.0,7.6,14DegreesEast,"Role-Playing,Action RPG,Action RPG",25.0,224.0
High Heat Major League Baseball 2002,PC,14-Mar-01,76.0,7.6,3DO,"Sports,Traditional,Team,Baseball,Sim,Sim",12.0,14.0
Fate of the Dragon,PC,14-Mar-01,71.0,6.9,Object,"Strategy,Real-Time,Fantasy,General,Fantasy",14.0,15.0
Serious Sam: The First Encounter,PC,21-Mar-01,87.0,8.4,Croteam,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",31.0,348.0
Summoner,PC,21-Mar-01,78.0,7.7,VolitionInc.,"Role-Playing,Action RPG,Action RPG",14.0,35.0
Waterloo: Napoleon's Last Battle,PC,25-Mar-01,80.0,7.5,BreakAwayGames,"Strategy,General,General",9.0,4.0
In Cold Blood,PC,25-Mar-01,67.0,7.2,RevolutionSoftware,"Adventure,General,General",13.0,22.0
Black & White,PC,26-Mar-01,90.0,7.7,LionheadStudios,"Strategy,Real-Time,Fantasy,General,Fantasy",34.0,360.0
The Sims: House Party,PC,26-Mar-01,74.0,7.8,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",17.0,35.0
Tribes 2,PC,28-Mar-01,88.0,8.3,Dynamix,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",28.0,50.0
Tropico,PC,5-Apr-01,85.0,8.3,PopTopSoftware,"Strategy,Miscellaneous,Real-Time,Management,Compilation,Modern,Modern,Government",28.0,118.0
Cossacks: European Wars,PC,14-Apr-01,74.0,8,GSCGameWorld,"Strategy,Real-Time,General,General,Command",16.0,87.0
Resident Evil 3: Nemesis,PC,16-Apr-01,71.0,8.7,Capcom,"Action Adventure,Horror,Horror,Survival",8.0,227.0
Evil Islands: Curse of the Lost Soul,PC,17-Apr-01,74.0,7.9,NivalInteractive,"Role-Playing,General,General",17.0,59.0
X-COM: Enforcer,PC,18-Apr-01,65.0,6.9,MicroProse,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",15.0,18.0
Myst III: Exile,PC,8-May-01,83.0,7.6,PrestoStudios,"Adventure,3D,First-Person,Fantasy,Fantasy",22.0,55.0
Echelon,PC,16-May-01,70.0,7.3,BukaEntertainment,"Simulation,Flight,Sci-Fi,Small Spaceship,Futuristic Jet,Combat",16.0,14.0
Microsoft Train Simulator,PC,31-May-01,84.0,7.6,KujuEntertainment,"Simulation,Train,Vehicle,Train",16.0,25.0
Leadfoot,PC,1-Jun-01,69.0,7.6,Ratbag,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",8.0,5.0
Half-Life: Blue Shift,PC,11-Jun-01,71.0,8.2,GearboxSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",19.0,640.0
Emperor: Battle for Dune,PC,12-Jun-01,79.0,8,WestwoodStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",19.0,74.0
Hostile Waters: Antaeus Rising,PC,13-Jun-01,80.0,7.6,RageSoftware,"Strategy,General,General",14.0,36.0
Steel Soldiers,PC,14-Jun-01,70.0,8.8,TheBitmapBrothers,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",9.0,4.0
Worms World Party,PC,16-Jun-01,75.0,7.8,Team17,"Strategy,Turn-Based,General,Wargame,General,Fantasy,Artillery",8.0,86.0
Startopia,PC,19-Jun-01,86.0,8.6,MuckyFootProductions,"Strategy,General,General,Management,Government",14.0,70.0
Baldur's Gate II: Throne of Bhaal,PC,21-Jun-01,88.0,8.8,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",14.0,306.0
Poseidon,PC,25-Jun-01,84.0,7.6,ImpressionsGames,"Strategy,General,Management,Government",8.0,28.0
Alone in the Dark: The New Nightmare,PC,25-Jun-01,66.0,7.7,SpiralHouse,"Action Adventure,Horror,Horror,Survival",16.0,43.0
Anarchy Online,PC,26-Jun-01,72.0,7.2,Funcom,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi",11.0,43.0
