title_id,title,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
349,Call of Duty: Ghosts,XboxOne,2013.0,Shooter,Activision,1.88,0.77,0.0,0.27,2.92,78.0,7.0,4.3,700.0,Infinity Ward,M
350,Call of Duty: Infinite Warfare,PC,2016.0,Shooter,Activision,0.04,0.08,0.0,0.01,0.14,73.0,16.0,3.0,440.0,Infinity Ward,M
351,Call of Duty: Infinite Warfare,PlayStation4,2016.0,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,M
352,Call of Duty: Infinite Warfare,XboxOne,2016.0,Shooter,Activision,1.46,0.74,0.0,0.22,2.42,78.0,17.0,3.1,290.0,Infinity Ward,M
353,Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6430.0,Infinity Ward,M
354,Call of Duty: Modern Warfare 2,PlayStation3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M
355,Call of Duty: Modern Warfare 3,PC,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72,78.0,26.0,2.5,5664.0,"Infinity Ward, Sledgehammer Games",M
356,Call of Duty: Modern Warfare 3,PlayStation3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M
357,Call of Duty: Modern Warfare Trilogy,PlayStation3,2016.0,Shooter,Activision,0.01,0.01,0.0,0.0,0.02,,,7.0,5.0,Infinity Ward,M
358,Call of Duty: World at War,PC,2008.0,Shooter,Activision,0.02,0.14,0.0,0.03,0.18,83.0,36.0,7.5,721.0,Treyarch,M
359,Call of Duty: World at War,PlayStation3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,M
360,Call of Juarez,PC,2006.0,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01,72.0,25.0,7.8,223.0,Techland,M
361,Call of Juarez: Bound in Blood,PC,2009.0,Shooter,Ubisoft,0.0,0.03,0.0,0.0,0.03,78.0,39.0,8.0,282.0,Techland,M
362,Call of Juarez: Bound in Blood,PlayStation3,2009.0,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78.0,47.0,7.8,91.0,Techland,M
363,Call of Juarez: Gunslinger,PlayStation3,2011.0,Shooter,Ubisoft,0.05,0.05,0.0,0.01,0.11,51.0,12.0,3.3,126.0,Ubisoft,M
364,Call of Juarez: Gunslinger,PC,2011.0,Shooter,Ubisoft,0.12,0.12,0.0,0.05,0.29,45.0,42.0,5.5,74.0,Techland,M
365,Captain America: Super Soldier,PlayStation3,2011.0,Action,Sega,0.1,0.06,0.0,0.03,0.19,61.0,34.0,7.3,40.0,Next Level Games,T
366,Captain Morgane and the Golden Turtle,PC,2012.0,Adventure,Reef Entertainment,0.0,0.02,0.0,0.0,0.03,54.0,6.0,6.2,11.0,Wizarbox,
367,Captain Morgane and the Golden Turtle,PlayStation3,2012.0,Adventure,Reef Entertainment,0.0,0.02,0.0,0.0,0.02,,,,,Wizarbox,
368,Carmageddon: Max Damage,PlayStation4,2016.0,Action,Stainless Games,0.01,0.0,0.0,0.0,0.01,51.0,28.0,5.5,39.0,Stainless Games,M
369,Carmageddon: Max Damage,XboxOne,2016.0,Action,Stainless Games,0.01,0.01,0.0,0.0,0.02,52.0,15.0,7.1,12.0,Stainless Games,M
370,Carnival Island,PlayStation3,2011.0,Misc,Sony Computer Entertainment,0.13,0.06,0.0,0.04,0.23,66.0,25.0,5.2,5.0,Magic Pixel Games,E
371,Cars 2: The Video Game,PlayStation3,2011.0,Racing,Disney Interactive Studios,0.22,0.21,0.0,0.09,0.52,,,,,,
372,Cars 3: Driven to Win,PlayStation4,2007.0,Racing,THQ,0.37,0.01,0.0,0.03,0.41,63.0,8.0,4.8,4.0,Rainbow Studios,E
373,Cart Life,PC,2009.0,Racing,THQ,0.14,0.03,0.0,0.02,0.18,61.0,5.0,,,Incinerator Games,E
