title_id,title,platform,release_date,score,user_score,developer,genre,critics,users,franchise
5770,Subsurface Circular,Switch,3/1/2018,79,7.9,MikeBithell,"Adventure,General,Visual Novel",22,30,Subsurface Circular
5771,Sudden Strike,PC,23-Jan-01,69,7.7,Fireglow,"Strategy,General,General",16,27,Sudden Strike
5772,Sudden Strike 4,PC,11-Aug-17,70,7.5,KiteGames,"Strategy,Real-Time,General",16,64,Sudden Strike
5773,Sudden Strike II,PC,26-Sep-02,68,7.9,Fireglow,"Strategy,Real-Time,Historic,General,Historic",10,27,Sudden Strike
5774,Summon Night 6: Lost Borders,PlayStation4,31-Oct-17,71,6.9,MediaVision,"Role-Playing,Japanese-Style",9,19,
5775,Summoner,PC,3/21/2001,78,7.7,VolitionInc.,"Role-Playing,Action RPG,Action RPG",14,35,Summoner
5776,Sundered,PC,28-Jul-17,74,7.3,ThunderLotusGames,"Action Adventure,General",39,55,
5777,Sundered,PlayStation4,28-Jul-17,70,6.8,ThunderLotusGames,"Action Adventure,General",22,26,
5778,Sundered: Eldritch Edition,Switch,12/21/2018,76,7.2,ThunderLotusGames,"Action Adventure,General",10,21,Sundered: Eldritch Edition
5779,Sunless Sea,PC,7/1/2014,81,7.6,FailbetterGames,"Sci-Fi,Action Adventure,General",38,166,Sunless Sea
5780,Sunless Skies,PC,1/31/2019,87,6.9,FailbetterGames,"Action Adventure,General",30,68,Sunless Skies
5781,Sunset,PC,21-May-15,66,2.8,TaleofTales,"Modern,Adventure,3D,First-Person",34,64,
5782,Sunset Overdrive,XboxOne,10/28/2014,81,7.8,InsomniacGames,"General,Action,General,Shooter,Third-Person,Arcade",89,1410,Sunset Overdrive
5783,Sunset Overdrive and the Mystery of the Mooil Rig!,XboxOne,23-Dec-14,65,7.2,InsomniacGames,"Action,General,Shooter,Third-Person,Arcade",9,33,
5784,Super Beat Sports,Switch,2-Nov-17,68,7.1,HarmonixMusicSystems,"Action,Rhythm,Music",12,14,
5785,Super Blood Hockey,Switch,26-Apr-19,65,5.3,"LorenLemcke,KittehfaceSoftware","Sports,Team,Ice Hockey,Arcade",7,8,
5786,Super Bomberman R,PlayStation4,12-Jun-18,67,6.2,Konami,"Puzzle,Action,Arcade",13,25,
5787,Super Cane Magic ZERO,PlayStation4,5/30/2019,77,5.2,STUDIOEVIL,"Role-Playing,Japanese-Style",8,10,Super Cane Magic ZERO
5788,Super Chariot,Switch,5/10/2018,76,7.8,FrimaStudio,"Action,Platformer,2D",9,14,Super Chariot
5789,Super Cloudbuilt,PlayStation4,7/25/2017,78,6.6,"Coilworks,DoubleEleven","Action Adventure,General",10,9,Super Cloudbui
5790,Super Cloudbuilt,XboxOne,28-Jul-17,74,7.1,"Coilworks,DoubleEleven","Action Adventure,General",8,9,
5791,Super Crush K.O.,Switch,1/16/2020,77,7.8,VertexPop,"Action,Platformer,2D",27,11,Super Crush K.O.
5792,Super Daryl Deluxe,Switch,10-Apr-18,72,7.1,Dan&GaryGames,"Role-Playing,Action RPG",11,13,
5793,Super Daryl Deluxe,PlayStation4,10-Apr-18,67,5.0,Dan&GaryGames,"Role-Playing,Action RPG",8,10,
5794,Super Dragon Ball Heroes: World Mission,Switch,5-Apr-19,69,7.5,"DimpsCorporation,SafariGames","Strategy,Turn-Based,Card Battle",31,36,
5795,Super Exploding Zoo,PlayStation4,2-Jun-15,69,4.9,HoneyslugLtd,"Miscellaneous,Puzzle,General",7,36,
5796,Super Hydorah,XboxOne,9/20/2017,82,6.9,Locomalito,"Action,Shooter,Shoot-'Em-Up,Horizontal",7,8,Super Hydorah
5797,Super Mario 3D All-Stars,Switch,9/18/2020,82,6.3,Nintendo,"Miscellaneous,Compilation",97,524,Super Mario
