Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Mario Kart Live: Home Circuit,Mario Kart,2020,3,2017,Racing,Tier 3,42,75,37,7.1,"Nintendo,VelanStudios",,"Racing,Arcade,Automobile"
Mario Tennis Aces,Mario Tennis Aces,2018,0,2018,Sports,Tier 3,86,75,515,7.1,CamelotSoftwarePlanning,,"Sports,Individual,Tennis"
Mark of the Ninja,Mark of the Ninja,2012,0,2012,Action,Tier 1,14,91,1077,8.0,KleiEntertainment,,"Action,Platformer,Platformer,2D,2D"
Marvel Heroes 2015,Marvel,2014,13,2001,Role-Play,Tier 2,10,81,582,8.2,Gazillion,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi"
Marvel Heroes Omega,Marvel,2017,16,2001,Role-Play,Tier 4,8,68,14,7.4,Gazillion,,"Role-Playing,Massively Multiplayer"
Marvel Pinball,Marvel,2010,9,2001,Action,Tier 2,17,83,18,7.5,ZenStudios,,"Action,Miscellaneous,Parlor,Pinball,Pinball"
Marvel Ultimate Alliance 3: The Black Order,Marvel,2019,18,2001,Role-Play,Tier 3,82,73,336,7.3,TeamNinja,,"Role-Playing,Action RPG"
Marvel vs. Capcom 2,Marvel,2009,8,2001,Action,Tier 2,16,85,45,7.7,BackboneEntertainment,,"Action,Fighting,Fighting,2D,2D"
Marvel vs. Capcom 3: Fate of Two Worlds,Marvel,2011,10,2001,Action,Tier 2,56,84,160,7.3,Capcom,1.34,"Action,Fighting,Fighting,2D,2D"
Marvel vs. Capcom Origins,Marvel,2012,11,2001,Action,Tier 3,11,72,10,8.0,IronGalaxyStudios,,"Action,Miscellaneous,Fighting,Compilation,2D"
Marvel vs. Capcom: Infinite,Marvel,2017,16,2001,Action,Tier 3,16,77,61,5.3,Capcom,,"Action,Fighting,2D"
Marvel vs. Capcom: Infinite,Marvel,2017,16,2001,Action,Tier 3,73,72,243,4.6,Capcom,,"Action,Fighting,2D"
