Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Lock On: Modern Air Combat,Lock On,2005,0,2005,Simulation,Tier 3,20,76,552,7.5,EagleDynamics,0.03,"Simulation,Flight,Modern Jet,Modern Jet,Combat"
LocoRoco,LocoRoco,2017,0,2017,Action,Tier 3,31,79,35,7.0,SonyInteractiveEntertainment,,"Action,Platformer,2D"
LocoRoco 2 Remastered,LocoRoco,2017,0,2017,Action,Tier 3,20,79,20,7.3,SCEJapanStudio,,"Action,Platformer,2D"
Lone Echo,Lone Echo,2017,0,2017,Action Adventure,Tier 2,14,89,72,7.9,ReadyatDawn,,"Action Adventure,General"
Lone Survivor,Lone Survivor,2012,0,2012,Action Adventure,Tier 2,24,81,144,7.4,superflatgames,,"Action Adventure,Horror,Horror,Survival"
Lone Survivor: The Director's Cut,Lone Survivor,2013,1,2012,Action Adventure,Tier 2,8,84,50,7.8,"CurveStudios,superflatgames",,"Action Adventure,Horror,Horror,Survival"
Lonely Mountains: Downhill,Lonely Mountains,2020,0,2020,Sports,Tier 2,17,84,42,7.2,MegagonIndustries,,"Sports,Individual,Biking"
Lost Ember,Lost Ember,2019,0,2019,Action Adventure,Tier 3,16,78,60,7.5,MooneyeStudios,,"Action Adventure,Open-World"
Lost Horizon,Lost Horizon,2010,0,2010,Adventure,Tier 3,24,77,38,7.5,AnimationArts,0.11,"Adventure,General,Third-Person,General,Point-and-Click,Modern"
Lost Orbit,Lost Orbit,2015,0,2015,Action,Tier 3,19,77,23,7.1,PixelNAUTS,,"Action,Platformer,2D"
Lovers in a Dangerous Spacetime,Lovers in a Dangerous Spacetime,2015,0,2015,General,Tier 2,27,82,34,7.2,AsteroidBase,,"Platformer,2D,Action,Shooter,Shoot-''Em-Up,Horizontal"
Lovers in a Dangerous Spacetime,Lovers in a Dangerous Spacetime,2015,0,2015,Action,Tier 2,16,80,30,7.6,AsteroidBase,,"Action,Platformer,Platformer,Shooter,2D,2D,Shoot-''Em-Up,Horizontal"
Lovers in a Dangerous Spacetime,Lovers in a Dangerous Spacetime,2016,1,2015,Action,Tier 2,8,82,40,6.9,AsteroidBase,,"Action,Shooter,Shoot-''Em-Up,Horizontal"
Lovers in a Dangerous Spacetime,Lovers in a Dangerous Spacetime,2017,2,2015,Action,Tier 2,9,84,48,8.0,AsteroidBase,,"Action,Shooter,Shoot-''Em-Up,Horizontal"
Luckslinger,Luckslinger,2015,0,2015,Action,Tier 3,7,76,5,7.0,Duckbridge,,"Action,Platformer,3D"
Luftrausers,Luftrausers,2014,0,2014,General,Tier 2,16,80,51,7.3,Vlambeer,,"General,Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Luftrausers,Luftrausers,2014,0,2014,General,Tier 2,45,80,91,6.9,Vlambeer,,"General,Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Luigi's Mansion 3,Luigi's Mansion,2019,0,2019,Action Adventure,Tier 2,106,86,977,8.5,"NextLevelGames,Nintendo",,"Action Adventure,General"
Lumines Remastered,Lumines,2018,10,2008,Puzzle,Tier 2,18,83,26,7.9,EnhanceGames,,"Puzzle,Matching"
Lumines Remastered,Lumines,2018,10,2008,Puzzle,Tier 2,16,80,8,4.4,EnhanceGames,,"Puzzle,Matching"
Lumines Supernova,Lumines,2008,0,2008,General,Tier 2,16,80,7,8.1,QEntertainment,,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching"
Lumo,Lumo,2017,1,2016,Action,Tier 3,9,77,11,8.3,RisingStarGames,,"Action,Platformer,3D"
Lumo,Lumo,2016,0,2016,Action,Tier 3,7,77,6,6.0,TripleEh?Ltd,,"Action,Adventure,General,Platformer,3D"
MAG,MAG,2010,0,2010,Action,Tier 3,83,76,558,8.2,ZipperInteractive,,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern,Arcade"
MDK2,MDK2,2000,0,2000,Action,Tier 2,23,83,87,7.8,BioWare,,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade"
MIND: Path to Thalamus,MIND: Path to Thalamus,2014,0,2014,Action,Tier 3,18,75,86,6.8,CarlosCoronado,,"Action,Shooter,First-Person,Sci-Fi,Arcade"
MLB 07: The Show,MLB ,2007,0,2007,Sports,Tier 3,30,77,17,7.5,SCEASanDiegoStudios,0.31,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 08: The Show,MLB ,2008,1,2007,Sports,Tier 2,33,85,76,8.7,SCEASanDiegoStudios,0.7,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 09: The Show,MLB ,2009,2,2007,Sports,Tier 1,27,90,61,8.1,SCEASanDiegoStudios,0.72,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 10: The Show,MLB ,2010,3,2007,Sports,Tier 1,33,91,112,8.2,SCEA,0.72,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 11: The Show,MLB ,2011,4,2007,Sports,Tier 1,30,90,87,8.0,SCEASanDiegoStudios,0.58,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 12: The Show,MLB ,2012,5,2007,Sports,Tier 2,23,87,72,7.9,SCEASanDiegoStudios,0.92,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 13: The Show,MLB ,2013,6,2007,Sports,Tier 2,36,87,118,7.9,SCEASanDiegoStudios,0.74,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 14: The Show,MLB ,2014,7,2007,Sports,Tier 2,26,81,77,6.7,SCEASanDiegoStudios,0.43,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 14: The Show,MLB ,2014,7,2007,Sports,Tier 2,17,83,212,7.6,SCEASanDiegoStudios,0.72,"Sports,Traditional,Team,Baseball,Sim,Sim"
MLB 15: The Show,MLB ,2015,8,2007,General,Tier 2,44,80,198,7.7,SCEASanDiegoStudios,0.92,"Traditional,Sports,Team,Baseball,Sim"
MLB The Show 16,MLB ,2016,9,2007,Sports,Tier 2,37,85,184,7.3,SCEASanDiegoStudios,,"Sports,Team,Baseball,Arcade,Sim"
MLB The Show 17,MLB ,2017,10,2007,Sports,Tier 2,45,85,155,6.9,SonyInteractiveEntertainment,,"Sports,Team,Baseball,Sim"
MLB The Show 18,MLB ,2018,11,2007,Sports,Tier 2,35,82,98,6.3,SonyInteractiveEntertainment,,"Sports,Team,Baseball,Sim"
MLB The Show 19,MLB ,2019,12,2007,Sports,Tier 2,31,86,217,7.6,SonyInteractiveEntertainment,,"Sports,Team,Baseball,Sim"
MLB The Show 20,MLB ,2020,13,2007,Sports,Tier 2,39,83,156,6.6,SCEASanDiegoStudios,,"Sports,Team,Baseball,Sim"
MORDHAU,MORDHAU,2019,0,2019,Strategy,Tier 2,21,81,203,8.0,Triternion,,"Strategy,Real-Time,MOBA"
