Game Name,Franchise,Platform,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
#IDARB,#IDARB,Xbox,2015,0,2015,Action,Tier 3,31,77,88,6.9,OtherOceanInteractive,0.09,"Action,General"
007: Quantum of Solace,007: Quantum of Solace,PlayStation,2008,0,2008,Action,Tier 4,42,65,59,6.6,Treyarch,1.14,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
007: Quantum of Solace,007: Quantum of Solace,PC,2008,0,2008,Action,Tier 3,18,70,64,6.1,"Treyarch,Beenox",0.03,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
0RBITALIS,0RBITALIS,PC,2015,0,2015,General,Tier 3,9,73,4,7.3,AlanZucconi,,"Miscellaneous,Puzzle,Action"
10 Second Ninja,10 Second Ninja,PC,2014,0,2014,Action,Tier 3,13,72,16,7.1,GameDesignDan,0.02,"Action,Platformer,2D"
10 Second Ninja X,10 Second Ninja,Xbox,2016,2,2014,Action,Tier 2,10,82,8,4.5,GameDesignDan,0.11,"Action,Platformer,2D"
10 Second Ninja X,10 Second Ninja,PlayStation,2016,2,2014,Action,Tier 3,16,76,22,5.4,GameDesignDan,,"Action,Platformer,2D"
1001 Spikes,1001 Spikes,PlayStation,2014,0,2014,Action,Tier 3,8,78,37,6.5,Nicalis,,"Action,Platformer,Platformer,2D,2D"
11-11: Memories Retold,11-11: Memories Retold,PC,2018,0,2018,Adventure,Tier 3,11,73,24,6.6,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
11-11: Memories Retold,11-11: Memories Retold,Xbox,2018,0,2018,Adventure,Tier 3,9,77,8,7.3,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
11-11: Memories Retold,11-11: Memories Retold,PlayStation,2018,0,2018,Adventure,Tier 3,33,77,54,7.7,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
112 Operator,112 Operator,PC,2020,0,2020,Strategy,Tier 3,10,73,14,7.6,JutsuGames,,"Strategy,General"
13 Sentinels: Aegis Rim,13 Sentinels,PlayStation,2020,0,2020,Role-Play,Tier 2,65,86,94,8.9,Vanillaware,,"Role-Playing,Action RPG,Adventure,General"
1503 A.D. - The New World,1503 A.D.,PC,2003,0,2003,Strategy,Tier 3,14,74,21,7.6,SunflowersInteractive,,"Strategy,Real-Time,Historic,General,Historic"
1701 A.D.,1701 A.D.,PC,2006,0,2006,Strategy,Tier 3,30,79,45,7.8,RelatedDesigns,0.3,"Strategy,Real-Time,Historic,General,Historic"
1942: Joint Strike,1942: Joint Strike,PlayStation,2008,0,2008,Action,Tier 4,20,69,16,5.9,BackboneEntertainment,,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-''Em-Up,Vertical"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,PlayStation,2018,2,2016,Adventure,Tier 3,10,70,11,6.0,iNKStories,,"Adventure,General"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,Switch,2018,2,2016,Adventure,Tier 3,7,77,13,7.6,iNKStories,,"Adventure,General"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,PC,2016,0,2016,Adventure,Tier 2,25,80,76,7.5,"N-FusionInteractiveEntertainmentCorp.,iNKStories",,"Adventure,General"
198X,198X,PlayStation,2019,0,2019,Action,Tier 3,7,74,15,5.9,Hi-BitStudios,,"Action,Miscellaneous,Platformer,Party / Minigame,2D"
198X,198X,Switch,2020,1,2019,Action,Tier 4,10,65,16,7.0,Hi-BitStudios,,"Action,Miscellaneous,Platformer,Party / Minigame,2D"
1nsane,1nsane,PC,2001,0,2001,Racing,Tier 4,14,69,28,7.5,Invictus,,"Driving,Racing,Simulation,Rally / Offroad,Automobile"
2064: Read Only Memories,2064: Read Only Memories,PlayStation,2017,0,2017,General,Tier 3,14,76,547,3.4,MidBoss,,"General,Adventure,Point-and-Click"
2064: Read Only Memories INTEGRAL,2064: Read Only Memories,Switch,2018,1,2017,Adventure,Tier 3,7,74,12,6.7,MidBoss,,"Adventure,Point-and-Click"
20XX,20XX,Switch,2018,0,2018,Action,Tier 3,14,77,14,7.7,BatterystapleGames,,"Action,Platformer,2D"
2Dark,2Dark,PC,2017,0,2017,Action Adventure,Tier 4,14,68,32,5.5,Gloomywood,,"Action Adventure,General"
2Dark,2Dark,Xbox,2017,0,2017,Action Adventure,Tier 4,9,65,9,6.9,Gloomywood,,"Action Adventure,General"
3000th Duel,3000th Duel,Switch,2020,0,2020,Action Adventure,Tier 3,8,71,58,8.3,NEOPOPCORNCorp,,"Action Adventure,General"
39 Days to Mars,39 Days to Mars,PC,2018,0,2018,Puzzle,Tier 3,10,71,8,4.6,It'sAnecdotal,,"Puzzle,Action"
3D Dot Game Heroes,3D Dot Game Heroes,PlayStation,2010,0,2010,Role-Play,Tier 3,66,77,103,8.1,SiliconStudio,0.57,"Role-Playing,Action RPG,Action RPG"
428: Shibuya Scramble,428: Shibuya Scramble,PlayStation,2018,0,2018,Action Adventure,Tier 2,19,85,25,7.7,SpikeChunsoft,,"Action Adventure,General"
4x4 EVO 2,4x4 Evolution,PC,2001,1,2000,Racing,Tier 4,9,69,15,7.3,TerminalReality,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
4x4 Evolution,4x4 Evolution,PC,2000,0,2000,Racing,Tier 3,23,73,19,6.5,TerminalReality,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
50 Cent: Blood on the Sand,50 Cent: Blood on the Sand,PlayStation,2009,0,2009,Action,Tier 3,37,72,68,6.8,SwordfishStudios,0.19,"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade"
80 DAYS,80 DAYS,Switch,2019,4,2015,Adventure,Tier 2,8,84,9,7.8,inkle,,"Adventure,Visual Novel"
80 Days (2015),80 DAYS,PC,2015,0,2015,Adventure,Tier 2,8,84,36,7.4,"inkle,CapeGuy",,"Adventure,Visual Novel"
88 Heroes,88 Heroes,PlayStation,2017,0,2017,Action,Tier 3,8,72,5,5.8,"RisingStarGames,BitmapBureau",,"Action,Platformer,2D"
88 Heroes: 98 Heroes Edition,88 Heroes,Switch,2017,0,2017,Action,Tier 4,10,65,8,6.4,BitmapBureau,,"Action,Platformer,2D"
9 Monkeys of Shaolin,9 Monkeys of Shaolin,PC,2020,0,2020,Action,Tier 3,7,70,4,8.8,Sobaka,,"Action,Beat-''Em-Up,3D"
A Case of Distrust,A Case of Distrust,PC,2018,0,2018,Adventure,Tier 3,11,77,11,5.5,TheWanderingBen,,"Adventure,General"
A Fisherman's Tale,A Fisherman's Tale,PC,2019,0,2019,Adventure,Tier 3,8,78,8,5.0,InnerspaceVR,,"Adventure,General"
A Fold Apart,A Fold Apart,PC,2020,0,2020,Adventure,Tier 3,15,77,4,7.8,LightningRodGames,,"Adventure,General"
A Hat in Time,A Hat in Time,PC,2017,0,2017,Action,Tier 3,39,79,423,8.6,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,PlayStation,2017,0,2017,Action,Tier 3,17,79,92,8.1,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,Xbox,2017,0,2017,Action,Tier 3,17,74,50,7.9,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,Switch,2019,2,2017,Action,Tier 3,7,76,41,8.0,GearsforBreakfast,,"Action,Platformer,3D"
A Plague Tale: Innocence,A Plague Tale: Innocence,PC,2019,0,2019,Action Adventure,Tier 2,33,81,887,8.5,AsoboStudio,0.34,"Action Adventure,General,Linear"
