game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
NASCAR Thunder 2004,NASCAR,PC,2003-09-16,2003,3,2000,Racing,Tier 3,9,78,12,8,EAGames,,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile"
Natural Selection 2,Natural Selection,PC,2012-10-30,2012,0,2012,Action,Tier 2,28,80,636,9,UnknownWorldsEntertainment,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Tactical,Arcade"
NBA 2K18,NBA ,Switch,2017-09-15,2017,7,2010,Sports,Tier 3,15,74,172,4,VisualConcepts,,"Sports,Team,Basketball,Sim"
NBA 2K19,NBA ,PC,2018-09-06,2018,8,2010,Arcade,Tier 3,7,76,123,4,VisualConcepts,,"Arcade,Sports,Team,Basketball,Sim"
NBA 2K20,NBA,Switch,2019-09-06,2019,18,2001,Sports,Tier 3,11,73,111,2,VisualConcepts,,"Sports,Team,Basketball,Sim"
NBA Live 06,NBA,PC,2005-09-26,2005,4,2001,Sports,Tier 3,9,71,15,7,EACanada,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2001,NBA,PC,2001-02-07,2001,0,2001,Sports,Tier 3,13,78,12,7,EASports,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2003,NBA,PC,2002-11-14,2002,1,2001,Sports,Tier 2,7,80,49,8,EACanada,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2004,NBA,PC,2003-11-11,2003,2,2001,Sports,Tier 2,10,80,63,9,EASports,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Live 2005,NBA,PC,2004-10-26,2004,3,2001,Sports,Tier 3,9,79,25,9,EACanada,,"Sports,Traditional,Team,Basketball,Sim,Sim"
NBA Playgrounds,NBA,PC,2017-05-09,2017,16,2001,Sports,Tier 4,7,67,26,7,SaberInteractive,,"Sports,Team,Basketball,Arcade"
Necrobarista,Necrobarista,PC,2020-07-22,2020,0,2020,Action,Tier 2,33,81,16,8,Route59Games,,"Action,General"
Need for Speed,Need for Speed,PC,2016-03-15,2016,14,2002,Racing,Tier 4,23,68,339,5,GhostGames,,"Racing,Simulation,Automobile"
Need for Speed Heat,Need for Speed,PC,2019-11-08,2019,17,2002,Racing,Tier 3,18,72,299,5,GhostGames,,"Racing,Arcade,Automobile"
Need for Speed: Carbon,Need for Speed,PC,2006-10-31,2006,4,2002,Racing,Tier 3,17,78,422,7,BlackBox,,"Driving,Racing,Simulation,Arcade,GT / Street,GT / Street,Automobile"
Need for Speed: Hot Pursuit,Need for Speed,PC,2010-11-16,2010,8,2002,Racing,Tier 2,14,86,742,7,CriterionGames,0,"Driving,Racing,Arcade,Arcade,Automobile"
Need for Speed: Hot Pursuit 2,Need for Speed,PC,2002-10-21,2002,0,2002,Racing,Tier 3,11,73,161,8,EASeattle,,"Driving,Racing,Arcade,Arcade,Automobile"
Need for Speed: Hot Pursuit Remastered,Need for Speed,PC,2020-11-06,2020,18,2002,Racing,Tier 3,8,76,8,4,CriterionGames,,"Racing,Arcade,Automobile"
Need for Speed: Most Wanted,Need for Speed,PC,2005-11-15,2005,3,2002,Racing,Tier 2,19,82,944,9,BlackBox,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Most Wanted,Need for Speed,PC,2005-11-15,2005,3,2002,Racing,Tier 2,19,82,944,9,BlackBox,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Most Wanted,Need for Speed,PC,2005-11-15,2005,3,2002,Racing,Tier 2,19,82,944,9,BlackBox,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Most Wanted,Need for Speed,PC,2005-11-15,2005,3,2002,Racing,Tier 2,19,82,944,9,BlackBox,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Most Wanted - A Criterion Game,Need for Speed,PC,2012-10-30,2012,10,2002,Racing,Tier 3,14,78,899,4,CriterionGames,,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: ProStreet,Need for Speed,PC,2007-11-13,2007,5,2002,Racing,Tier 3,18,70,248,6,EAGames,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Rivals,Need for Speed,PC,2013-11-19,2013,11,2002,Racing,Tier 3,16,76,622,4,GhostGames,,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Shift,Need for Speed,PC,2009-09-15,2009,7,2002,Racing,Tier 2,22,83,466,6,SlightlyMadStudios,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: The Run,Need for Speed,PC,2011-11-15,2011,9,2002,Racing,Tier 4,18,69,450,6,BlackBox,0,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Undercover,Need for Speed,PC,2008-11-17,2008,6,2002,Racing,Tier 4,18,65,318,5,EABlackBox,,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Underground,Need for Speed,PC,2003-11-17,2003,1,2002,Racing,Tier 2,24,82,500,8,BlackBox,,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Need for Speed: Underground 2,Need for Speed,PC,2004-11-09,2004,2,2002,Racing,Tier 2,31,82,700,9,EACanada,,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
Nelly Cootalot: The Fowl Fleet,Nelly Cootalot,Switch,2019-07-11,2019,3,2016,Adventure,Tier 3,7,78,4,8,ApplicationSystemsHeidelberg,,"Adventure,Point-and-Click"
Nelly Cootalot: The Fowl Fleet,Nelly Cootalot,PC,2016-03-22,2016,0,2016,Adventure,Tier 2,7,81,33,8,"ApplicationSystemsHeidelbergSoftwareGmbH,ApplicationSystemsHeidelberg",,"Adventure,Point-and-Click"
Neo Cab,Neo Cab,PC,2019-10-03,2019,0,2019,Adventure,Tier 3,17,76,23,5,ChanceAgency,,"Adventure,General"
Neo Cab,Neo Cab,Switch,2019-10-03,2019,0,2019,Adventure,Tier 3,17,75,19,7,ChanceAgency,,"Adventure,General"
NEO Scavenger,NEO Scavenger,PC,2014-12-15,2014,0,2014,Sci-Fi,Tier 3,7,77,61,8,BlueBottleGames,,"Sci-Fi,Sci-Fi,Strategy,Turn-Based,General"
Neocron,Neocron,PC,2002-11-17,2002,0,2002,Role-Play,Tier 4,11,66,6,7,ReakktorMedia,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Neon Abyss,Neon Abyss,Switch,2020-07-14,2020,0,2020,Action,Tier 2,8,80,19,5,VeewoGames,,"Action,Platformer,2D"
NeuroVoider,NeuroVoider,Switch,2017-09-07,2017,0,2017,Action,Tier 2,10,85,37,8,FlyingOakGames,,"Action,Shooter,Shoot-''Em-Up,Top-Down"
Never Give Up,Never Give Up,Switch,2019-08-13,2019,0,2019,Action,Tier 3,8,78,13,8,MassiveMonster,,"Action,Platformer,2D"
Neversong,Neversong,PC,2020-05-20,2020,0,2020,Adventure,Tier 3,21,75,21,8,"SerenityForge,ThomasBrush",,"Adventure,General"
Neverwinter,Neverwinter,PC,2013-06-20,2013,11,2002,Role-Play,Tier 3,35,74,450,5,CrypticStudios,,"Role-Playing,General,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Neverwinter Nights,Neverwinter,PC,2002-06-16,2002,0,2002,Role-Play,Tier 1,34,91,610,8,BioWare,0,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Neverwinter Nights 2,Neverwinter,PC,2006-10-31,2006,4,2002,Role-Play,Tier 2,46,82,634,7,ObsidianEntertainment,0,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Neverwinter Nights 2: Mask of The Betrayer,Neverwinter,PC,2007-10-09,2007,5,2002,Role-Play,Tier 2,25,82,213,9,ObsidianEntertainment,,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Neverwinter Nights 2: Mysteries of Westgate,Neverwinter,PC,2009-04-29,2009,7,2002,Role-Play,Tier 3,11,73,21,8,OssianStudios,,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Neverwinter Nights 2: Storm of Zehir,Neverwinter,PC,2008-11-18,2008,6,2002,Role-Play,Tier 3,15,73,77,7,ObsidianEntertainment,,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Neverwinter Nights: Hordes of the Underdark,Neverwinter,PC,2003-12-02,2003,1,2002,Role-Play,Tier 2,24,84,126,8,BioWare,,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Neverwinter Nights: Shadows of Undrentide,Neverwinter,PC,2003-06-17,2003,1,2002,Role-Play,Tier 3,24,78,98,8,BioWare,,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
New Super Lucky's Tale,New Super Lucky's Tale,Switch,2019-11-08,2019,0,2019,Action,Tier 3,28,76,90,8,PlayfulCorp.,,"Action,Platformer,3D"
New Super Mario Bros. U Deluxe,Mario Bros.,Switch,2019-01-11,2019,0,2019,Action,Tier 2,70,80,272,7,Nintendo,,"Action,Platformer,2D"
Nex Machina: Death Machine,Nex Machina,PC,2017-06-20,2017,0,2017,Action,Tier 2,16,84,45,7,Housemarque,,"Action,Shooter,Shoot-''Em-Up,Top-Down"
