game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
.hack//G.U. Last Recode,hack,PC,2017-11-03,2017,0,2017,General,Tier 4,7,69,25,8,CyberConnect2,,"Miscellaneous,Compilation"
007: Quantum of Solace,007: Quantum of Solace,PC,2008-11-04,2008,0,2008,Action,Tier 3,18,70,64,6,"Treyarch,Beenox",0,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
0RBITALIS,0RBITALIS,PC,2015-05-28,2015,0,2015,General,Tier 3,9,73,4,7,AlanZucconi,,"Miscellaneous,Puzzle,Action"
10 Second Ninja,10 Second Ninja,PC,2014-03-05,2014,0,2014,Action,Tier 3,13,72,16,7,GameDesignDan,0,"Action,Platformer,2D"
11-11: Memories Retold,11-11: Memories Retold,PC,2018-11-08,2018,0,2018,Adventure,Tier 3,11,73,24,7,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
112 Operator,112 Operator,PC,2020-04-23,2020,0,2020,Strategy,Tier 3,10,73,14,8,JutsuGames,,"Strategy,General"
1503 A.D. - The New World,1503 A.D.,PC,2003-03-23,2003,0,2003,Strategy,Tier 3,14,74,21,8,SunflowersInteractive,,"Strategy,Real-Time,Historic,General,Historic"
1701 A.D.,1701 A.D.,PC,2006-11-06,2006,0,2006,Strategy,Tier 3,30,79,45,8,RelatedDesigns,0,"Strategy,Real-Time,Historic,General,Historic"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,Switch,2018-08-02,2018,2,2016,Adventure,Tier 3,7,77,13,8,iNKStories,,"Adventure,General"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,PC,2016-04-04,2016,0,2016,Adventure,Tier 2,25,80,76,8,"N-FusionInteractiveEntertainmentCorp.,iNKStories",,"Adventure,General"
198X,198X,Switch,2020-01-23,2020,1,2019,Action,Tier 4,10,65,16,7,Hi-BitStudios,,"Action,Miscellaneous,Platformer,Party / Minigame,2D"
1nsane,1nsane,PC,2001-02-05,2001,0,2001,Racing,Tier 4,14,69,28,8,Invictus,,"Driving,Racing,Simulation,Rally / Offroad,Automobile"
2002 FIFA World Cup,FIFA,PC,2002-04-30,2002,2,2000,Sports,Tier 2,9,80,63,7,EASports,,"Sports,Traditional,Team,Soccer,Sim,Sim"
2064: Read Only Memories INTEGRAL,2064: Read Only Memories,Switch,2018-07-26,2018,1,2017,Adventure,Tier 3,7,74,12,7,MidBoss,,"Adventure,Point-and-Click"
20XX,20XX,Switch,2018-07-10,2018,0,2018,Action,Tier 3,14,77,14,8,BatterystapleGames,,"Action,Platformer,2D"
2Dark,2Dark,PC,2017-03-10,2017,0,2017,Action Adventure,Tier 4,14,68,32,6,Gloomywood,,"Action Adventure,General"
3000th Duel,3000th Duel,Switch,2020-02-19,2020,0,2020,Action Adventure,Tier 3,8,71,58,8,NEOPOPCORNCorp,,"Action Adventure,General"
39 Days to Mars,39 Days to Mars,PC,2018-04-25,2018,0,2018,Puzzle,Tier 3,10,71,8,5,It'sAnecdotal,,"Puzzle,Action"
4x4 EVO 2,4x4 Evolution,PC,2001-10-30,2001,1,2000,Racing,Tier 4,9,69,15,7,TerminalReality,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
4x4 Evolution,4x4 Evolution,PC,2000-10-29,2000,0,2000,Racing,Tier 3,23,73,19,7,TerminalReality,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
80 DAYS,80 DAYS,Switch,2019-10-01,2019,4,2015,Adventure,Tier 2,8,84,9,8,inkle,,"Adventure,Visual Novel"
80 Days (2015),80 DAYS,PC,2015-09-29,2015,0,2015,Adventure,Tier 2,8,84,36,7,"inkle,CapeGuy",,"Adventure,Visual Novel"
88 Heroes: 98 Heroes Edition,88 Heroes,Switch,2017-10-10,2017,0,2017,Action,Tier 4,10,65,8,6,BitmapBureau,,"Action,Platformer,2D"
9 Monkeys of Shaolin,9 Monkeys of Shaolin,PC,2020-10-16,2020,0,2020,Action,Tier 3,7,70,4,9,Sobaka,,"Action,Beat-''Em-Up,3D"
A Case of Distrust,A Case of Distrust,PC,2018-02-08,2018,0,2018,Adventure,Tier 3,11,77,11,6,TheWanderingBen,,"Adventure,General"
A Fisherman's Tale,A Fisherman's Tale,PC,2019-01-10,2019,0,2019,Adventure,Tier 3,8,78,8,5,InnerspaceVR,,"Adventure,General"
A Fold Apart,A Fold Apart,PC,2020-04-16,2020,0,2020,Adventure,Tier 3,15,77,4,8,LightningRodGames,,"Adventure,General"
A Hat in Time,A Hat in Time,PC,2017-10-05,2017,0,2017,Action,Tier 3,39,79,423,9,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,Switch,2019-10-18,2019,2,2017,Action,Tier 3,7,76,41,8,GearsforBreakfast,,"Action,Platformer,3D"
A Plague Tale: Innocence,A Plague Tale: Innocence,PC,2019-05-13,2019,0,2019,Action Adventure,Tier 2,33,81,887,9,AsoboStudio,0,"Action Adventure,General,Linear"
A Short Hike,A Short Hike,PC,2019-07-30,2019,0,2019,Adventure,Tier 2,8,80,77,8,adamgryu,,"Adventure,General"
A Short Hike,A Short Hike,Switch,2020-08-18,2020,1,2019,Adventure,Tier 2,13,88,59,8,adamgryu,,"Adventure,General"
A Total War Saga: Thrones of Britannia,A Total War Saga,PC,2018-05-02,2018,0,2018,Strategy,Tier 3,51,75,145,5,CreativeAssembly,,"Strategy,Real-Time,General"
A Way Out,A Way Out,PC,2018-03-23,2018,0,2018,Action,Tier 3,16,78,461,8,Hazelight,,"Action,Action Adventure,General"
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,AaaaaAAaaaAAAaaAAAAaAAAAA!!!,PC,2009-09-03,2009,0,2009,Action,Tier 2,15,81,97,7,DejobaanGames,,"Action,Sports,General,Platformer,3D"
Aaero: Complete Edition,Aaero,Switch,2018-12-24,2018,1,2017,Action,Tier 2,7,80,6,8,MadFellowsLtd,,"Action,Shooter,Rail"
Absolver,Absolver,PC,2017-08-29,2017,0,2017,Role-Play,Tier 3,41,75,91,6,Sloclap,,"Role-Playing,Action RPG"
ABZU,ABZU,PC,2016-08-02,2016,0,2016,Action Adventure,Tier 2,19,83,285,7,GiantSquid,,"Action Adventure,Adventure,General,3D,Third-Person"
ABZU,ABZU,Switch,2018-11-29,2018,2,2016,Adventure,Tier 2,21,80,25,8,GiantSquid,,"Adventure,3D,Third-Person"
ACA NeoGeo: Metal Slug 3,ACA NeoGeo,Switch,2017-03-09,2017,0,2017,Action,Tier 3,7,76,35,8,"SNKPlaymore,Hamster",,"Action,Miscellaneous,Shooter,Compilation,Shoot-''Em-Up,Horizontal"
Ace Combat 7: Skies Unknown,Ace Combat,PC,2019-01-31,2019,8,2011,Simulation,Tier 3,14,78,168,7,ProjectAces,,"Simulation,Flight,Combat"
Ace Combat Assault Horizon: Enhanced Edition,Ace Combat,PC,2013-01-24,2013,2,2011,Action,Tier 3,14,77,181,6,"ProjectAces,QLOC",,"Action,Simulation,Flight,Flight,Combat"
Act of War: Direct Action,Act of War,PC,2005-03-15,2005,0,2005,Strategy,Tier 2,43,82,51,8,EugenSystems,,"Strategy,Real-Time,Military,General,Military"
Act of War: High Treason,Act of War,PC,2006-05-30,2006,1,2005,Strategy,Tier 3,8,74,28,8,EugenSystems,,"Strategy,Real-Time,Military,General,Military"
Advent Rising,Advent Rising,PC,2005-08-09,2005,0,2005,Action Adventure,Tier 3,19,70,133,9,GlyphXGames,,"Action Adventure,Sci-Fi,Sci-Fi,General"
Aegis Defenders,Aegis Defenders,PC,2018-02-08,2018,0,2018,Role-Play,Tier 3,11,76,5,6,GUTSDepartment,,"Role-Playing,Action RPG"
Afterparty,Afterparty,PC,2019-10-29,2019,0,2019,Adventure,Tier 3,24,75,47,7,NightSchoolStudio,,"Adventure,General"
Agatha Christie: And Then There Were None,Agatha Christie,PC,2005-10-30,2005,0,2005,Adventure,Tier 4,28,68,35,8,AWEGames,0,"Adventure,First-Person,3D,Point-and-Click,Modern,Third-Person,Modern"
Agatha Christie: Evil Under the Sun,Agatha Christie,PC,2007-10-16,2007,2,2005,Adventure,Tier 4,18,66,20,7,AWEGames,0,"Adventure,3D,Modern,Third-Person,Modern"
Agatha Christie: The ABC Murders,Agatha Christie,PC,2016-02-04,2016,11,2005,Adventure,Tier 4,0,66,16,9,Kalypso,0,"Adventure,General,Point-and-Click"
Age of Conan: Hyborian Adventures,Age of Conan,PC,2008-05-20,2008,0,2008,Role-Play,Tier 2,44,80,825,7,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Age of Conan: Rise of the Godslayer,Age of Conan,PC,2010-05-11,2010,2,2008,Role-Play,Tier 2,14,83,60,8,Funcom,0,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Age of Empires,Age of Empires,PC,1997-09-30,1997,0,1997,Strategy,Tier 2,9,83,361,9,EnsembleStudios,,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires II: Definitive Edition,Age of Empires,PC,2019-11-14,2019,22,1997,Strategy,Tier 2,32,84,229,9,"EnsembleStudios,ForgottenEmpiresLLC",,"Strategy,Real-Time,Command"
Age of Empires II: HD Edition,Age of Empires,PC,2013-04-09,2013,16,1997,Strategy,Tier 4,20,68,630,8,"EnsembleStudios,HiddenPathEntertainment",,"Strategy,Miscellaneous,Real-Time,Compilation,Historic,Command"
Age of Empires II: The Age of Kings,Age of Empires,PC,1999-09-30,1999,2,1997,Strategy,Tier 1,21,92,1165,9,EnsembleStudios,0,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires II: The Conquerors Expansion,Age of Empires,PC,2000-08-24,2000,3,1997,Strategy,Tier 2,21,88,428,9,EnsembleStudios,,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires III,Age of Empires,PC,2005-10-18,2005,8,1997,Strategy,Tier 2,52,81,669,8,EnsembleStudios,0,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires III: Definitive Edition,Age of Empires,PC,2020-10-15,2020,23,1997,Strategy,Tier 3,44,75,50,5,Tantalus,0,"Strategy,Real-Time,Command"
Age of Empires III: The Asian Dynasties,Age of Empires,PC,2007-10-23,2007,10,1997,Strategy,Tier 2,19,81,95,8,BigHugeGames,0,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires III: The WarChiefs,Age of Empires,PC,2006-10-17,2006,9,1997,Strategy,Tier 2,26,80,96,8,EnsembleStudios,0,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires Online,Age of Empires,PC,2011-08-16,2011,14,1997,Strategy,Tier 3,44,70,186,6,GasPoweredGames,0,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires: Definitive Edition,Age of Empires,PC,2018-02-20,2018,21,1997,Strategy,Tier 4,50,69,146,6,"MicrosoftGameStudios,ForgottenEmpiresLLC",0,"Strategy,Real-Time,Command"
Age of Mythology,Age of Empires,PC,2002-11-01,2002,5,1997,Strategy,Tier 2,31,89,652,9,EnsembleStudios,0,"Strategy,Real-Time,Fantasy,General,Fantasy"
Age of Mythology: Extended Edition,Age of Mythology,PC,2014-05-08,2014,11,2003,Strategy,Tier 4,7,66,158,7,EnsembleStudios,,"Strategy,Real-Time,General,Fantasy"
Age of Mythology: The Titans,Age of Mythology,PC,2003-09-30,2003,0,2003,Strategy,Tier 2,25,84,164,9,EnsembleStudios,0,"Strategy,Real-Time,Fantasy,General,Fantasy"
Age of Wonders II: The Wizard's Throne,Age of Wonders,PC,2002-06-12,2002,0,2002,Strategy,Tier 2,20,86,66,8,TriumphStudios,0,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Age of Wonders III,Age of Wonders,PC,2014-03-31,2014,12,2002,Strategy,Tier 2,35,80,594,8,TriumphStudios,0,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Age of Wonders III - Eternal Lords,Age of Wonders,PC,2015-04-14,2015,13,2002,Strategy,Tier 2,10,80,111,8,TriumphStudios,,"Strategy,Turn-Based,General"
Age of Wonders III - Golden Realms,Age of Wonders,PC,2014-09-18,2014,12,2002,Fantasy,Tier 2,8,82,98,9,TriumphStudios,,"Fantasy,Strategy,Turn-Based,General"
Age of Wonders: Planetfall,Age of Wonders,PC,2019-08-06,2019,17,2002,Strategy,Tier 2,42,81,93,8,TriumphStudios,0,"Strategy,Turn-Based,General"
Age of Wonders: Shadow Magic,Age of Wonders,PC,2003-07-25,2003,1,2002,Strategy,Tier 2,22,82,98,9,TriumphStudios,,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Agent A: A Puzzle In Disguise,Agent A,Switch,2019-08-29,2019,0,2019,Puzzle,Tier 3,9,79,15,8,Yak&Co,,"Puzzle,General"
Agents of Mayhem,Agents of Mayhem,PC,2017-08-15,2017,0,2017,Action Adventure,Tier 4,22,68,109,5,VolitionInc.,,"Action Adventure,Open-World"
Aggressors: Ancient Rome,Aggressors: Ancient Rome,PC,2018-08-30,2018,0,2018,Strategy,Tier 3,7,76,13,8,KubatSoftware,,"Strategy,Turn-Based,4X"
AI War: Fleet Command,AI,PC,2009-05-14,2009,0,2009,Strategy,Tier 2,8,80,109,8,"ArcenGames,LLC",,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
AI: The Somnium Files,AI,Switch,2019-09-17,2019,10,2009,Action Adventure,Tier 2,12,86,499,9,SpikeChunsoft,,"Action Adventure,General"
Aion,Aion,PC,2009-09-22,2009,0,2009,Role-Play,Tier 3,42,76,452,7,NCSOFT,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Airborne Assault: Highway to the Reich,Airborne Assault,PC,2003-12-10,2003,1,2002,Strategy,Tier 2,11,81,8,6,PantherGames,0,"Strategy,Real-Time,Wargame,Real-Time,General"
Airborne Assault: Red Devils Over Arnhem,Airborne Assault,PC,2002-06-17,2002,0,2002,Strategy,Tier 2,8,82,5,7,PantherGames,0,"Strategy,Wargame,Turn-Based"
Airfix Dogfighter,Airfix Dogfighter,PC,2000-01-14,2000,0,2000,Simulation,Tier 3,7,75,39,8,ParadoxInteractive,,"Simulation,Flight,Modern Jet,Modern Jet,Combat"
Airscape: The Fall of Gravity,Airscape: The Fall of Gravity,PC,2015-08-11,2015,0,2015,Action,Tier 3,9,75,15,7,Cross-Product,,"Action,Platformer,2D"
Al Emmo and the Lost Dutchman's Mine,Al Emmo and the Lost Dutchman's Mine,PC,2006-09-06,2006,0,2006,Adventure,Tier 3,7,77,21,7,HimalayaStudios,,"Adventure,Third-Person,Point-and-Click,Modern,Modern"
Alan Wake,Alan Wake,PC,2012-02-16,2012,0,2012,Action Adventure,Tier 2,30,83,1892,8,RemedyEntertainment,0,"Action Adventure,Modern,Horror,Horror,Survival"
Alice: Madness Returns,Alice: Madness Returns,PC,2011-06-14,2011,0,2011,Action Adventure,Tier 3,29,75,665,8,SpicyHorse,0,"Action Adventure,Adventure,General,Horror,Horror,Survival"
Alien Swarm,Alien Swarm,PC,2010-07-19,2010,0,2010,Action,Tier 3,11,77,440,8,ValveSoftware,,"Action,Shooter,Shooter,Third-Person,Tactical,Modern"
Alien: Isolation,Alien: Isolation,PC,2014-10-06,2014,0,2014,Action Adventure,Tier 2,41,81,1941,9,CreativeAssembly,0,"Action Adventure,Sci-Fi,General,Survival"
Alien: Isolation,Alien: Isolation,Switch,2019-12-05,2019,5,2014,Action Adventure,Tier 2,27,83,68,9,"CreativeAssembly,FeralInteractive",,"Action Adventure,Survival"
Aliens Versus Predator 2,Aliens vs Predator,PC,2001-10-31,2001,0,2001,Action,Tier 2,27,85,209,9,MonolithProductions,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Aliens vs. Predator,Aliens vs Predator,PC,2010-02-16,2010,9,2001,Action,Tier 4,35,68,1057,7,Rebellion,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Allegiance,Allegiance,PC,2000-03-31,2000,0,2000,Simulation,Tier 2,17,86,16,7,MicrosoftGameStudios,,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat"
Alone in the Dark: The New Nightmare,Alone in the Dark,PC,2001-06-25,2001,0,2001,Action Adventure,Tier 4,16,66,43,8,SpiralHouse,,"Action Adventure,Horror,Horror,Survival"
Alwa's Legacy,Alwa's Legacy,Switch,2020-09-29,2020,0,2020,Action Adventure,Tier 2,13,80,7,8,EldenPixels,,"Action Adventure,General"
America's Army,America's Army,PC,2002-07-04,2002,0,2002,Action,Tier 2,13,82,35,6,U.S.Army,,"Action,Shooter,Shooter,First-Person,Tactical,Modern"
American Conquest,American Conquest,PC,2003-02-05,2003,0,2003,Strategy,Tier 3,15,76,55,8,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
American Conquest: Fight Back,American Conquest,PC,2003-09-29,2003,0,2003,Strategy,Tier 4,10,66,24,8,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
American McGee's Alice,American McGee's Alice,PC,2000-12-06,2000,0,2000,Action Adventure,Tier 2,34,85,200,8,RogueEntertainment,,"Action Adventure,Horror,Horror,Survival"
American Truck Simulator,American Truck Simulator,PC,2016-02-02,2016,0,2016,Simulation,Tier 3,31,76,248,7,SCSSoftware,,"Simulation,Vehicle,Civilian"
AMID EVIL,AMID EVIL,PC,2019-06-20,2019,0,2019,Action Adventure,Tier 2,9,85,64,7,Indefatigable,,"Action Adventure,General"
Amnesia Collection,Amnesia,Switch,2019-09-12,2019,9,2010,General,Tier 3,7,76,11,8,FrictionalGames,,"Miscellaneous,Compilation"
Amnesia: A Machine for Pigs,Amnesia,PC,2013-09-10,2013,3,2010,Horror,Tier 3,59,72,904,6,FrictionalGames,,"Horror,Horror,Action Adventure,Survival"
Amnesia: Rebirth,Amnesia,PC,2020-10-20,2020,10,2010,Action Adventure,Tier 2,48,81,148,6,FrictionalGames,,"Action Adventure,Survival"
Amnesia: The Dark Descent,Amnesia,PC,2010-09-08,2010,0,2010,Action Adventure,Tier 2,44,85,1465,9,FrictionalGames,,"Action Adventure,Horror,Horror,Survival"
Anachronox,Anachronox,PC,2001-06-27,2001,0,2001,Role-Play,Tier 3,18,77,84,8,IonStorm,,"Role-Playing,Third-Person,Third-Person,General,Japanese-Style"
Anarchy Online,Anarchy Online,PC,2001-06-26,2001,0,2001,Role-Play,Tier 3,11,72,43,7,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Anarchy Online: Alien Invasion,Anarchy Online,PC,2004-08-31,2004,3,2001,Role-Play,Tier 3,17,73,13,7,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Anarchy Online: Shadowlands,Anarchy Online,PC,2003-09-08,2003,2,2001,Role-Play,Tier 2,15,85,23,8,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Anarcute,Anarcute,PC,2016-07-12,2016,0,2016,Action,Tier 3,7,79,10,7,Anarteam,,"Action,General"
Ancestors Legacy,Ancestors Legacy,PC,2018-05-22,2018,0,2018,Strategy,Tier 3,22,77,106,7,DestructiveCreations,,"Strategy,Real-Time,General,Command"
And Yet It Moves,And Yet It Moves,PC,2009-04-02,2009,0,2009,Action,Tier 3,10,75,110,6,BrokenRules,,"Action,Platformer,Platformer,2D,2D"
Angry Birds VR: Isle of Pigs,Angry Birds,PC,2019-02-07,2019,7,2012,Puzzle,Tier 3,8,78,12,5,ResolutionGames,0,"Puzzle,Action"
Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,PC,2013-09-20,2013,0,2013,Action,Tier 3,7,77,117,8,FreakZone,,"Action,Platformer,Platformer,2D,2D"
Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,PC,2013-09-20,2013,0,2013,Action,Tier 3,7,77,117,8,FreakZone,,"Action,Platformer,Platformer,2D,2D"
Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,PC,2013-09-20,2013,0,2013,Action,Tier 3,7,77,117,8,FreakZone,,"Action,Platformer,Platformer,2D,2D"
Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,PC,2013-09-20,2013,0,2013,Action,Tier 3,7,77,117,8,FreakZone,,"Action,Platformer,Platformer,2D,2D"
Animal Crossing: New Horizons,Animal Crossing,Switch,2020-03-20,2020,0,2020,Simulation,Tier 1,110,90,5736,5,Nintendo,,"Simulation,Virtual,Virtual Life"
Anno 1800,Anno,PC,2019-04-16,2019,8,2011,Strategy,Tier 2,49,81,335,8,BlueByte,,"Strategy,Management,Government"
Anno 2070,Anno,PC,2011-11-17,2011,0,2011,Strategy,Tier 2,33,83,524,7,"BlueByte,RelatedDesigns",1,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Anodyne,Anodyne,PC,2013-02-04,2013,0,2013,Action Adventure,Tier 3,11,75,69,7,AnalgesicProductions,,"Action Adventure,Adventure,General,General,Open-World"
Anomaly 2,Anomaly,PC,2013-05-15,2013,2,2011,Action,Tier 3,27,77,114,8,11bitstudios,,"Action,Strategy,General,Real-Time,Sci-Fi,Sci-Fi,General"
Anomaly: Warzone Earth,Anomaly,PC,2011-04-08,2011,0,2011,Strategy,Tier 2,36,80,174,7,11bitstudios,,"Strategy,Real-Time,General,Sci-Fi,General"
Another World,Another World,Switch,2018-07-09,2018,0,2018,Action,Tier 3,13,75,16,8,TheDigitalLounge,,"Action,Platformer,2D"
Antichamber,Antichamber,PC,2013-01-31,2013,0,2013,General,Tier 2,50,82,597,8,Demruth,,"Miscellaneous,Puzzle,General,Puzzle,General"
Antihero,Antihero,PC,2017-07-10,2017,0,2017,Strategy,Tier 2,14,81,20,7,TimConkling,,"Strategy,Turn-Based,Tactics"
Ape Out,Ape Out,Switch,2019-02-28,2019,0,2019,Action,Tier 2,31,84,79,6,GabeCuzzillo,,"Action,Shooter,Shoot-''Em-Up,Top-Down"
Ape Out,Ape Out,PC,2019-02-28,2019,0,2019,Action,Tier 2,34,83,69,7,GabeCuzzillo,,"Action,Shooter,Shoot-''Em-Up,Top-Down"
Apex Legends,Apex Legends,PC,2019-02-04,2019,0,2019,Action,Tier 2,25,88,1188,6,RespawnEntertainment,,"Action,Shooter,First-Person,Tactical"
Apotheon,Apotheon,PC,2015-02-03,2015,0,2015,General,Tier 3,30,78,194,8,Alientrap,,"Platformer,2D,Platformer,Action,Beat-''Em-Up,2D"
Aqua Kitty UDX,Aqua Kitty UDX,Switch,2018-02-15,2018,0,2018,Action,Tier 3,8,75,12,8,TikipodLimited,,"Action,General"
AquaNox,AquaNox,PC,2001-11-19,2001,0,2001,Simulation,Tier 4,13,67,30,8,MassiveDevelopment,,"Simulation,Sci-Fi,Marine,Futuristic Sub,Futuristic Sub,Combat"
Aquaria,Aquaria,PC,2007-12-07,2007,0,2007,Action Adventure,Tier 2,7,82,117,8,BitBlot,,"Action Adventure,Fantasy,General,Fantasy"
AR-K Episode 3: The Great Escape,AR-K,PC,2015-07-14,2015,0,2015,Adventure,Tier 3,9,78,44,8,GatoSalvajeStudio,,"Adventure,General"
Arcade Spirits,Arcade Spirits,PC,2019-02-12,2019,0,2019,Adventure,Tier 3,7,78,7,5,FictionFactoryGames,,"Adventure,Visual Novel"
Arcanum: Of Steamworks and Magick Obscura,Arcanum,PC,2001-08-22,2001,0,2001,Role-Play,Tier 2,24,81,346,9,TroikaGames,0,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
Archangel: Hellfire,Archangel: Hellfire,PC,2018-07-17,2018,0,2018,Simulation,Tier 3,10,79,17,8,SkydanceInteractive,,"Simulation,Vehicle,Combat"
ArcheAge,ArcheAge,PC,2014-09-16,2014,0,2014,Role-Play,Tier 2,11,80,763,4,XLGAMES,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Area 51,Area 51,PC,2005-06-08,2005,0,2005,Action,Tier 4,27,67,47,6,MidwayStudios-Austin,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Arena of Valor,Arena of Valor,Switch,2018-09-25,2018,0,2018,Strategy,Tier 3,8,79,49,7,"Tencent,TencentGames",,"Strategy,Real-Time,MOBA"
Arena Wars,Arena Wars,PC,2004-09-13,2004,0,2004,Strategy,Tier 3,22,77,6,8,"AscaronEntertainmentGmbH,AscaronEntertainment",,"Strategy,Real-Time,Modern,General,Modern"
Arise: A Simple Story,Arise,PC,2019-12-03,2019,0,2019,Action,Tier 3,14,79,49,8,Piccolo,,"Action,General"
ArmA II,ArmA,PC,2009-06-29,2009,0,2009,Action,Tier 3,38,77,623,8,BohemiaInteractive,0,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
Armadillo Run,Armadillo Run,PC,2006-04-22,2006,0,2006,General,Tier 2,7,88,30,8,PeterStock,,"Miscellaneous,Puzzle,Puzzle,General,General"
Armed and Dangerous,Armed and Dangerous,PC,2003-12-02,2003,0,2003,Action,Tier 3,31,78,42,8,PlanetMoonStudios,,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade"
Armello,Armello,PC,2015-09-01,2015,0,2015,General,Tier 3,26,75,75,7,LeagueofGeeks,,"Miscellaneous,General,Board / Card Game"
Armello,Armello,Switch,2018-09-27,2018,3,2015,General,Tier 2,15,80,15,8,LeagueofGeeks,,"Miscellaneous,Board / Card Game"
Armies of Exigo,Armies of Exigo,PC,2004-11-30,2004,0,2004,Strategy,Tier 4,31,69,51,8,BlackHoleGames,,"Strategy,Real-Time,Fantasy,General,Fantasy"
ARMS,ARMS,Switch,2017-06-16,2017,0,2017,Action,Tier 3,97,77,792,7,Nintendo,,"Action,Sports,Fighting,Individual,3D,Combat,Boxing / Martial Arts"
Army Men: RTS,Army Men,PC,2002-03-24,2002,0,2002,Strategy,Tier 4,9,67,32,8,PandemicStudios,,"Strategy,Real-Time,Fantasy,General,Fantasy"
art of rally,art of rally,PC,2020-09-23,2020,0,2020,Racing,Tier 3,10,77,21,8,FunselektorLabsInc.,,"Racing,Arcade,Automobile"
Artifact,Artifact,PC,2018-11-28,2018,0,2018,Strategy,Tier 3,20,76,604,2,ValveSoftware,,"Strategy,Turn-Based,Card Battle"
Arx Fatalis,Arx Fatalis,PC,2002-11-11,2002,0,2002,Role-Play,Tier 3,24,77,169,8,ArkaneStudios,,"Role-Playing,First-Person,First-Person,Western-Style"
Asgard's Wrath,Asgard's Wrath,PC,2019-10-10,2019,0,2019,Action Adventure,Tier 2,15,88,77,8,Sanzaru,,"Action Adventure,General"
Ashen,Ashen,PC,2018-12-06,2018,0,2018,Role-Play,Tier 2,21,81,194,6,A44,,"Role-Playing,Action Adventure,Action RPG,Open-World"
Asheron's Call,Asheron's Call,PC,1999-10-31,1999,0,1999,Role-Play,Tier 2,15,81,24,9,TurbineInc.,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy"
Asheron's Call 2: Fallen Kings,Asheron's Call,PC,2002-11-20,2002,3,1999,Role-Play,Tier 2,22,82,10,7,TurbineInc.,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Asheron's Call Dark Majesty,Asheron's Call,PC,2001-11-04,2001,2,1999,Role-Play,Tier 2,11,80,10,7,TurbineInc.,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy"
Assassin's Creed Chronicles: China,Assassin's Creed,PC,2015-04-21,2015,8,2007,Action Adventure,Tier 4,15,67,137,5,"ClimaxGroup,ClimaxStudios",,"Action Adventure,General,Linear"
