name,platform,r-date,score,user score,developer,genre,players,critics,users
Pokemon Sword,Switch,15-Nov-19,80,4.6,GameFreak,"Role-Playing,Trainer",No Online Multiplayer,87,5218
Battlefield 2142,PC,17-Oct-06,80,6.8,EADICE,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",64  Online,48,354
Karaoke Revolution Party,GameCube,8-Nov-05,80,tbd,HarmonixMusicSystems,"Miscellaneous,Rhythm,Music",8-Jan,22,0
Fantasy General II: Invasion,PC,5-Sep-19,80,7.2,OwnedbyGravity,"Strategy,General",Online Multiplayer,9,31
Super Mega Baseball: Extra Innings,XboxOne,14-Aug-15,80,7.1,MetalheadSoftware,"Sports,Team,Baseball,Arcade",No info,11,20
Skylanders Giants,WiiU,18-Nov-12,80,6.2,VicariousVisions,"Action,Platformer,Platformer,3D,3D",No info,8,29
EA Sports Active More Workouts,Wii,17-Nov-09,80,tbd,ElectronicArts,"Sports,Miscellaneous,General,Exercise / Fitness",No info,15,0
LEGO Rock Band,DS,3-Nov-09,80,7.6,BackboneEntertainment,"Action,Miscellaneous,Rhythm,Music,Music",No info,8,9
A Boy and His Blob,Wii,13-Oct-09,80,8.4,WayForward,"Action,Miscellaneous,Platformer,Puzzle,Puzzle,Platformer,2D,General,2D",No Online Multiplayer,43,40
World of Tanks,PC,12-Apr-11,80,3.5,Wargaming.net,"First-Person,Modern,Action,Simulation,Shooter,Vehicle,Shooter,Third-Person,Combat,Tactical,Historic,Historic",No info,38,1841
Vampire: The Masquerade - Bloodlines,PC,16-Nov-04,80,8.9,TroikaGames,"Role-Playing,First-Person,Western-Style",No Online Multiplayer,61,891
OneShot,PC,8-Dec-16,80,8.8,TeamOneshot,"Puzzle,Action",No Online Multiplayer,8,110
Score Rush Extended,PlayStation4,31-May-16,80,7.2,XonaGames,"Action,Shooter,Shoot-'Em-Up,Top-Down",No info,9,25
Star Wars: Battlefront,Xbox,20-Sep-04,80,8.4,PandemicStudios,"Action,Shooter,First-Person,Sci-Fi",16  Online,55,80
MX Unleashed,PlayStation2,17-Feb-04,80,8.8,RainbowStudios,"Driving,Racing,Motorcycle,Motocross",2-Jan,18,50
Kelly Slater's Pro Surfer,Xbox,16-Sep-02,80,6.8,Treyarch,"Sports,Alternative,Surfing",2-Jan,15,6
NHL 2K2,Dreamcast,14-Feb-02,80,8.5,Treyarch,"Sports,Traditional,Ice Hockey,Sim",No info,11,8
Fire Pro Wrestling,GameBoyAdvance,10-Jun-01,80,8,Spike,"Action,Fighting,Wrestling",3-Jan,10,5
Spider-Man,Dreamcast,19-Apr-01,80,8.3,Treyarch,"Action Adventure,Sci-Fi",No info,14,13
Pilotwings 64,Nintendo64,29-Sep-96,80,8,ParadigmEntertainment,"Simulation,General",1 Player,13,44
Need for Speed: Rivals,PlayStation4,15-Nov-13,80,6.2,GhostGames,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 6 ,53,815
"Warhammer 40,000: Dawn of War II - Retribution",PC,28-Feb-11,80,7.7,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",No info,52,265
Zero D Beat Drop,Xbox360,11-Nov-09,80,tbd,CycloneZero,"Action,Miscellaneous,Rhythm,Music,Music",4-Jan,11,0
NHL 16,XboxOne,15-Sep-15,80,6.1,"EASports,EACanada","Sports,Team,Ice Hockey,Sim",Up to 12 ,18,84
Hand of Fate,XboxOne,18-Feb-15,80,7.3,DefiantDevelopment,"Role-Playing,Miscellaneous,General,Board / Card Game",No info,11,44
ZEN Pinball,PlayStation3,14-May-09,80,8,ZenStudios,"Action,Miscellaneous,Parlor,Pinball,Pinball",No info,19,29
Dead Rising 2,PlayStation3,28-Sep-10,80,6.7,BlueCastleGames,"Action Adventure,Horror,Horror,Open-World",Up to 4 ,54,194
The Red Strings Club,PC,22-Jan-18,80,7.5,Deconstructeam,"Adventure,Visual Novel",No Online Multiplayer,46,121
Valfaris,XboxOne,15-Nov-19,80,7.9,SteelMantis,"Action,Platformer,2D",No Online Multiplayer,8,9
"Bury Me, My Love",PC,10-Jan-19,80,3.2,ThePixelHunt,"Adventure,Visual Novel",No Online Multiplayer,7,19
Ghost 1.0,PC,7-Jun-16,80,7.3,@unepic_fran,"Action Adventure,Open-World",No Online Multiplayer,7,23
Virtua Tennis 3,Xbox360,20-Mar-07,80,7,SumoDigital,"Sports,Traditional,Individual,Tennis,Tennis",16  Online,34,28
Bit.Trip Beat,Wii,16-Mar-09,80,8.4,GaijinGames,"Action,Miscellaneous,Rhythm,Music,Music",4-Jan,15,23
Pro Evolution Soccer 2012,PlayStation3,27-Sep-11,80,6.8,Konami,"Sports,Traditional,Team,Football,Soccer,Sim,Sim",Up to 8 ,41,141
Donkey Kong Country 2,GameBoyAdvance,15-Nov-04,80,8.6,RareLtd.,"Action,Platformer,2D",2-Jan,22,57
Cloning Clyde,Xbox360,19-Jul-06,80,8,NinjaBee,"Action,Platformer,Platformer,2D,2D",4  Online,38,15
Aaero,XboxOne,11-Apr-17,80,6.5,MadFellowsLtd,"Action,Shooter,Rail",No Online Multiplayer,13,11
Magic: Duels of the Planeswalkers 2014,PlayStation3,25-Jun-13,80,5.8,StainlessGames,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",No info,10,28
Pokemon Conquest,DS,18-Jun-12,80,8.3,Koei,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics",No Online Multiplayer,40,120
Street Fighter: 30th Anniversary Collection,XboxOne,29-May-18,80,7.6,"Capcom,DigitalEclipse","Miscellaneous,Compilation",2,11,29
Grand Theft Auto Online,Xbox360,1-Oct-13,80,5.8,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No info,9,185
Counter-Strike: Global Offensive,PlayStation3,21-Aug-12,80,7.1,"ValveSoftware,HiddenPathEntertainment","Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern",Up to 10 ,7,106
NBA Live 06,PSP,4-Oct-05,80,7.7,EACanada,"Sports,Traditional,Team,Basketball,Sim,Sim",2  Online,18,14
The Legend of Heroes: Trails of Cold Steel,PlayStation4,26-Mar-19,80,8.7,Falcom,"Role-Playing,Japanese-Style",No Online Multiplayer,16,158
Yakuza Kiwami,PC,19-Feb-19,80,8,RyugaGotokuStudios,"Action Adventure,Open-World",No Online Multiplayer,19,110
Faeria,Switch,13-Aug-20,80,7.3,AbrakamSA,"Miscellaneous,Board / Card Game",No Online Multiplayer,11,16
Panzer Corps,PC,11-Jul-11,80,7.5,TheLordzGamesStudio,"Strategy,Turn-Based,Real-Time,Wargame,Real-Time,General,Tactics",2-Jan,12,82
Virtua Tennis 3,PlayStation3,20-Mar-07,80,7.8,SegaAM3,"Sports,Traditional,Individual,Tennis,Tennis",No Online Multiplayer,35,34
Trauma Center: Second Opinion,Wii,14-Nov-06,80,8,Atlus,"Action,Simulation,General,General,Virtual,Career",No Online Multiplayer,49,51
Grim Fandango Remastered,PlayStation4,27-Jan-15,80,7.8,DoubleFineProductions,"General,Adventure,3D,Third-Person,Fantasy",No Online Multiplayer,45,272
Battlefield 2: Modern Combat,PlayStation2,24-Oct-05,80,8.3,DigitalIllusions,"Action,Shooter,First-Person,Tactical,Modern",32  Online,42,81
Catherine: Full Body,Switch,7-Jul-20,80,7.9,"Atlus,StudioZero","Action Adventure,Survival",2,28,70
Dragon's Dogma: Dark Arisen,PlayStation3,23-Apr-13,80,8.2,Capcom,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,25,326
Double Fine Happy Action Theater,Xbox360,1-Feb-12,80,6.2,DoubleFineProductions,"Miscellaneous,General,General",1 Player,22,15
Tooth and Tail,PC,12-Sep-17,80,7.4,PocketwatchGames,"Strategy,Real-Time,General",Online Multiplayer,17,34
FIFA Soccer 06,PlayStation2,4-Oct-05,80,7.8,EACanada,"Sports,Traditional,Soccer,Sim",4  Online,32,52
Madden NFL 19,PlayStation4,10-Aug-18,80,2,EATiburon,"Sports,Team,Football,Sim",Up to 6 ,30,245
Men of War,PC,16-Mar-09,80,8,BestWay,"Strategy,Real-Time,Historic,General,Historic,Tactics",16  Online,22,157
Mega Man Zero / ZX Legacy Collection,PlayStation4,25-Feb-20,80,8.1,Capcom,"Miscellaneous,Compilation",No Online Multiplayer,18,90
Blossom Tales: The Sleeping King,Switch,21-Dec-17,80,7.9,"CastlePixel,LLC.","Action Adventure,Open-World",No Online Multiplayer,16,63
SSX On Tour,PlayStation2,11-Oct-05,80,7.8,EACanada,"Sports,Alternative,Snowboarding",1 Player,41,35
Fallen Enchantress: Legendary Heroes,PC,22-May-13,80,7.7,Stardock,"Strategy,Turn-Based,Fantasy,General,4X",No Online Multiplayer,18,159
Medal of Honor Frontline,GameCube,10-Nov-02,80,7.6,DreamworksGames,"Action,Shooter,First-Person,Historic",4-Jan,16,19
Call of Duty 3,PlayStation3,14-Nov-06,80,6.9,Treyarch,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",Up to 16 ,43,103
Darkwood,XboxOne,17-May-19,80,7.8,AcidWizardStudio,"Action Adventure,Survival",No Online Multiplayer,10,8
Dragon's Dogma: Dark Arisen,XboxOne,3-Oct-17,80,7.8,Capcom,"Role-Playing,Action RPG",No Online Multiplayer,8,43
Danganronpa V3: Killing Harmony,PlayStationVita,26-Sep-17,80,7.4,SpikeChunsoft,"Adventure,Visual Novel",2,7,67
Star Wars Pinball: Heroes Within,PlayStation4,29-Apr-14,80,5.2,ZenStudios,"Action,Miscellaneous,Parlor,Pinball",No info,9,28
Metal Gear Rising: Revengeance,PlayStation3,19-Feb-13,80,8,PlatinumGames,"Action Adventure,Modern,General,Modern",No Online Multiplayer,61,871
The Walking Dead: Episode 4 - Around Every Corner,PC,10-Oct-12,80,8.6,TelltaleGames,"Miscellaneous,Adventure,General,Compilation,Point-and-Click",No info,24,221
Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,PC,30-Oct-09,80,7.5,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",No Online Multiplayer,28,35
Penny Arcade Adventures: Episode Two,PC,7-Nov-08,80,7.4,HotheadGames,"Adventure,General,General",No info,7,23
ESPN College Hoops,Xbox,13-Nov-03,80,6.6,VisualConcepts,"Sports,Traditional,Basketball,Sim",4-Jan,15,5
Splashdown: Rides Gone Wild,PlayStation2,5-Aug-03,80,8.6,RainbowStudios,"Driving,Racing,Snow / Water",2-Jan,25,19
MotoGP 3,PlayStation2,17-Mar-03,80,8.1,Namco,"Driving,Racing,Motorcycle,Street",4-Jan,20,22
All-Star Baseball 2004,GameCube,23-Feb-03,80,8.2,Acclaim,"Sports,Traditional,Baseball,Sim",4-Jan,14,6
War of the Monsters,PlayStation2,14-Jan-03,80,8.9,IncognitoInc.,"Action,Fighting,3D",2-Jan,41,76
Incredible Crisis,PlayStation,6-Nov-00,80,8,PolygonMagic,"Action,General",2-Jan,11,15
Time Commando,PC,31-Jul-96,80,8.3,AdelineSoftware,"Action Adventure,Sci-Fi,Sci-Fi,General",1 Player,7,31
Tiger Woods PGA Tour 08,Xbox360,28-Aug-07,80,7.8,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",4-Jan,45,26
Dragon Age: Origins - Awakening,Xbox360,16-Mar-10,80,8,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",No info,31,109
Metro: Last Light,Xbox360,14-May-13,80,8.3,4AGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,20,487
SoulCalibur: Broken Destiny,PSP,1-Sep-09,80,6.6,"BandaiNamcoGames,ProjectSoul","Action,Fighting,Fighting,3D,3D",2,52,56
Octopath Traveler,PC,7-Jun-19,80,6.5,SquareEnix,"Role-Playing,Japanese-Style",No Online Multiplayer,23,107
Lufia: Curse of the Sinistrals,DS,12-Oct-10,80,8.1,Neverland,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,8,18
Links 2004,Xbox,11-Nov-03,80,8.5,IndieBuilt,"Sports,Traditional,Golf,Sim",No info,41,11
Ultimate Marvel vs. Capcom 3,PlayStationVita,15-Feb-12,80,7.9,Capcom,"Action,Fighting,Fighting,2D,2D",No info,48,101
Super Bomberman R Online,Stadia,1-Sep-20,80,tbd,Konami,"Puzzle,Action",No Online Multiplayer,7,0
Telling Lies,Switch,28-Apr-20,80,6.4,SamBarlow,"Adventure,General",No Online Multiplayer,8,16
The Sims 4: Cats & Dogs,PC,10-Nov-17,80,4.7,Maxis,"Simulation,Virtual,Virtual Life",No info,9,59
Wasteland 2: Director's Cut,PlayStation4,13-Oct-15,80,7.5,InXileEntertainment,"Role-Playing,Western-Style",No Online Multiplayer,21,199
Sins of a Solar Empire: Entrenchment,PC,25-Feb-09,80,7.3,IroncladGames,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",10  Online,12,23
FIFA Soccer 09 All-Play,Wii,28-Oct-08,80,8.4,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",2  Online,18,22
"Pokemon: Let's Go, Eevee!",Switch,16-Nov-18,80,6.2,GameFreak,"Action RPG,Role-Playing,Trainer",Online Multiplayer,78,986
Spider-Man 2,GameCube,28-Jun-04,80,8.4,Treyarch,"Action Adventure,Sci-Fi",1 Player,41,38
Lock's Quest,DS,8-Sep-08,80,8.3,5THCell,"Strategy,Real-Time,Historic,Historic,Defense",2  Online,32,33
The Last Story,Wii,14-Aug-12,80,8.5,"Mistwalker,Artoon","Role-Playing,Action RPG,General,Action RPG",Up to 6 ,61,223
F1 2012,PC,17-Sep-12,80,7.2,Codemasters,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",No info,15,128
Untitled Goose Game,PlayStation4,17-Dec-19,80,6.8,HouseHouse,"Simulation,General",No Online Multiplayer,10,54
Nidhogg 2,PC,15-Aug-17,80,6.5,Messhof,"Action,General",Online Multiplayer,32,22
The Turing Test,XboxOne,30-Aug-16,80,7.3,BulkheadInteractive,"Action,Shooter,First-Person,Arcade",No info,16,74
BOXBOY!,3DS,2-Apr-15,80,8.1,HALLabs,"Puzzle,Action",No info,35,51
WWE SmackDown vs. Raw 2007,PlayStation2,14-Nov-06,80,8.7,Yuke's,"Action,Fighting,Wrestling",4  Online,27,73
Kingdom Hearts III,XboxOne,29-Jan-19,80,8.3,SquareEnix,"Action RPG,Action Adventure,Fantasy,Role-Playing,Action RPG",No Online Multiplayer,23,561
LEGO City Undercover,WiiU,18-Mar-13,80,8.2,TTGames,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,66,325
Dragon's Crown Pro,PlayStation4,15-May-18,80,8,Vanillaware,"Action,Role-Playing,Action RPG,Beat-'Em-Up,2D",Up to 4 ,48,87
Luftrausers,PC,18-Mar-14,80,6.9,Vlambeer,"General,Action,General,Shooter,Shoot-'Em-Up,Top-Down",No info,45,91
Neon Abyss,Switch,14-Jul-20,80,5.2,VeewoGames,"Action,Platformer,2D",No Online Multiplayer,8,19
Arise: A Simple Story,PlayStation4,3-Dec-19,80,7.9,Piccolo,"Action,General",No Online Multiplayer,29,90
Children of Morta,XboxOne,15-Oct-19,80,8.4,DeadMage,"Role-Playing,Adventure,General,Action RPG",Online Multiplayer,12,36
Borderlands: Game of the Year Edition,XboxOne,3-Apr-19,80,7,Take-TwoInteractive,"Miscellaneous,Compilation",Up to 4 ,7,22
Aaero: Complete Edition,Switch,24-Dec-18,80,8,MadFellowsLtd,"Action,Shooter,Rail",No Online Multiplayer,7,6
The Adventure Pals,XboxOne,3-Apr-18,80,7.2,MassiveMonster,"Action,Platformer,2D",No Online Multiplayer,8,13
The Walking Dead: Season Two Episode 2 - A House Divided,Xbox360,5-Mar-14,80,8.3,TelltaleGames,"General,Action,Adventure,General,Point-and-Click",No info,14,60
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,PC,24-Oct-13,80,8.1,CyberConnect2,"Action,Fighting,Fighting,3D,3D",Online Multiplayer,7,257
Stealth Bastard Deluxe,PC,28-Nov-12,80,7.7,CurveStudios,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,10,70
Kingdoms of Amalur: Reckoning,Xbox360,7-Feb-12,80,7.8,BigHugeGames,"PC-style RPG,Role-Playing,Action RPG,Action RPG",No Online Multiplayer,71,461
Space Invaders Infinity Gene,PlayStation3,14-Sep-10,80,7,TaitoCorporation,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Vertical",No info,16,7
Tom Clancy's Ghost Recon Advanced Warfighter,PC,3-May-06,80,7.7,GRIN,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",Up to 32 ,26,143
Rock Band,Wii,22-Jun-08,80,6.2,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",4  Online,21,38
LEGO Batman: The Videogame,PC,23-Sep-08,80,8,Traveller'sTales,"Action Adventure,Modern,General,Modern",No Online Multiplayer,15,101
Catherine Classic,PC,10-Jan-19,80,7.7,Atlus,"Action Adventure,Survival",No Online Multiplayer,17,77
LEGO Indiana Jones: The Original Adventures,DS,3-Jun-08,80,7.9,TTFusion,"Action Adventure,Adventure,Historic,General",2-Jan,15,24
Valkyrie Profile: Lenneth,PSP,18-Jul-06,80,8.7,TOSE,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,39,68
MLB Power Pros,PlayStation2,3-Oct-07,80,8.8,Konami,"Sports,Traditional,Baseball,Arcade",2-Jan,10,11
Kirby: Triple Deluxe,3DS,2-May-14,80,8.6,HALLabs,"General,General,Action,Platformer,2D",No Online Multiplayer,68,298
Stacking,PC,6-Mar-12,80,7.6,DoubleFineProductions,"Miscellaneous,Puzzle,Action,Puzzle,Action",1 Player,9,103
Snoopy Flying Ace,Xbox360,2-Jun-10,80,8.7,SmartBombInteractive,"Action,Simulation,Flight,Flight,Combat",2-Jan,30,29
The Darkness,PlayStation3,25-Jun-07,80,7.7,Starbreeze,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 8 ,35,126
Age of Wonders III,PC,31-Mar-14,80,8,TriumphStudios,"Strategy,Turn-Based,Fantasy,General,Fantasy",No info,35,594
Skullgirls: 2nd Encore,Switch,22-Oct-19,80,8.3,LabZeroGames,"Action,Fighting,2D",Up to 8 ,10,8
Life is Strange: Episode 3 - Chaos Theory,PC,19-May-15,80,8.8,DONTNODEntertainment,"Action Adventure,General",No info,8,252
Magic: The Gathering - Duels of the Planeswalkers 2013,Xbox360,20-Jun-12,80,7.1,StainlessGames,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",No info,21,55
Rocksmith,PlayStation3,18-Oct-11,80,8.2,Ubisoft,"Action,Miscellaneous,Rhythm,Music,Music",No Online Multiplayer,27,53
Alwa's Legacy,Switch,29-Sep-20,80,8,EldenPixels,"Action Adventure,General",No Online Multiplayer,13,7
Shantae and the Seven Sirens,PC,28-May-20,80,6.1,WayForward,"Action,Platformer,2D",No Online Multiplayer,7,26
The Golf Club 2019 featuring PGA Tour,XboxOne,28-Aug-18,80,4.9,HBStudiosMultimedia,"Sports,Individual,Golf,Sim",Up to 4 ,7,28
The Legend of Heroes: Trails in the Sky SC,PC,29-Oct-15,80,8.8,Falcom,"Console-style RPG,Role-Playing,Japanese-Style",No Online Multiplayer,7,117
FIFA Soccer 06,GameCube,4-Oct-05,80,8.2,EACanada,"Sports,Traditional,Soccer,Sim",4-Jan,19,10
inFamous: Second Son,PlayStation4,21-Mar-14,80,8,SuckerPunch,"Sci-Fi,Action Adventure,Sci-Fi,Open-World",No Online Multiplayer,90,3691
Guitar Hero Live,PlayStation4,20-Oct-15,80,6.2,FreeStyleGames,"Action,Rhythm,Music",No info,69,193
Tom Clancy's The Division,XboxOne,8-Mar-16,80,6.9,MassiveEntertainment,"Shooter,Modern,Modern,Action,Shooter,Third-Person,Tactical,Arcade",Up to 16 ,33,699
Proteus,PC,30-Jan-13,80,5.6,EdKeyandDavidKanaga,"Adventure,General,General,3D,First-Person,Fantasy",No Online Multiplayer,24,187
Hot Shots Tennis: Get a Grip,PSP,28-Jun-10,80,8.2,ClapHanz,"Sports,Traditional,Individual,Tennis,Tennis",Up to 4 ,27,19
Heave Ho,Switch,29-Aug-19,80,8.3,LeCartelStudio,"Miscellaneous,Adventure,General,Party / Minigame",No Online Multiplayer,14,15
Armello,Switch,27-Sep-18,80,7.9,LeagueofGeeks,"Miscellaneous,Board / Card Game",Up to 4 ,15,15
Life is Strange: Before the Storm - Episode 1: Awake,PC,31-Aug-17,80,7.6,DeckNineGames,"Action Adventure,General",No info,11,108
Candle,PC,11-Nov-16,80,7.7,TekuStudios,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,15,76
Hitman: Contracts,PlayStation2,20-Apr-04,80,8.2,IoInteractive,"Action,Shooter,Third-Person,Modern",1 Player,39,58
Medal of Honor Infiltrator,GameBoyAdvance,17-Nov-03,80,7.2,NetherockLtd.,"Action,Shooter,Third-Person,Historic",2-Jan,19,12
Rock 'N Roll Racing,GameBoyAdvance,23-Jun-03,80,8.7,MassMedia,"Driving,Racing,Arcade",2-Jan,12,10
Pro Race Driver,Xbox,16-Apr-03,80,7.2,Codemasters,"Driving,Racing,GT / Street",4-Jan,17,5
James Bond 007: NightFire,GameCube,18-Nov-02,80,8.5,EurocomEntertainmentSoftware,"Action,Shooter,First-Person,Modern",4-Jan,17,60
Robin Hood: The Legend of Sherwood,PC,14-Nov-02,80,8.5,Spellbound,"Strategy,Real-Time,Fantasy,General,Fantasy",No Online Multiplayer,15,117
Kelly Slater's Pro Surfer,GameCube,16-Sep-02,80,8.2,Treyarch,"Sports,Alternative,Surfing",2-Jan,15,6
Soldier of Fortune II: Double Helix,PC,20-May-02,80,7.1,RavenSoftware,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Jan-64,22,105
World Rally Championship,PlayStation2,21-Mar-02,80,8.3,EvolutionStudios,"Driving,Racing,Rally / Offroad",2-Jan,21,11
Baseball Advance,GameBoyAdvance,20-Mar-02,80,7.8,Smilebit,"Sports,Traditional,Baseball,Arcade",1 Player,16,5
Max Payne,PlayStation2,6-Dec-01,80,8.4,RockstarToronto,"Action,Shooter,Third-Person,Modern",1 Player,21,121
Oddworld: Munch's Oddysee,Xbox,6-Nov-01,80,8.7,OddworldInhabitants,"Action,Platformer,3D",1 Player,30,39
RollerCoaster Tycoon: Loopy Landscapes,PC,30-Sep-00,80,8.7,ChrisSawyer,"Strategy,Tycoon,Management,Business / Tycoon",1 Player,12,207
Madden NFL 15,XboxOne,26-Aug-14,80,6.2,EASports,"Sports,Traditional,Team,Football,Sim",2,19,138
Madden NFL 15,XboxOne,26-Aug-14,80,6.2,EASports,"Sports,Traditional,Team,Football,Sim",2,19,138
Ys: The Oath in Felghana,PSP,1-Nov-10,80,8.5,Falcom,"Role-Playing,General,Action RPG",No info,25,70
Dicey Dungeons,PC,13-Aug-19,80,8,TerryCavanagh,"Strategy,General",No Online Multiplayer,16,25
1979 Revolution: Black Friday,PC,4-Apr-16,80,7.5,"N-FusionInteractiveEntertainmentCorp.,iNKStories","Adventure,General",No Online Multiplayer,25,76
Space Invaders Infinity Gene,Xbox360,15-Sep-10,80,8.5,TaitoCorporation,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Vertical",No info,18,6
Toki Tori,PC,28-Jan-10,80,7.6,TwoTribes,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",No Online Multiplayer,10,111
UEFA EURO 2008,Xbox360,19-May-08,80,8.4,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",Up to 8 ,45,20
Beaterator,PSP,29-Sep-09,80,7.8,RockstarLeeds,"Miscellaneous,Music Maker,Music Maker,Application",No info,44,13
Ys Seven,PC,30-Aug-17,80,7.5,Falcom,"Role-Playing,Action RPG",No Online Multiplayer,15,23
Lunar: Silver Star Harmony,PSP,2-Mar-10,80,8.1,GameArts,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No info,26,49
Atelier Rorona Plus: The Alchemist of Arland,PlayStation3,24-Jun-14,80,7.9,Gust,"Role-Playing,General,Japanese-Style",No Online Multiplayer,18,44
Alan Wake: The Writer,Xbox360,12-Oct-10,80,7.4,RemedyEntertainment,"Action Adventure,Modern,Horror,Survival",No info,28,65
AI: The Somnium Files,PlayStation4,17-Sep-19,80,8.9,SpikeChunsoft,"Action Adventure,General",No Online Multiplayer,20,307
RoboBlitz,PC,7-Nov-06,80,7.7,NakedSkyEntertainment,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",1 Player,11,32
Lazy Raiders,Xbox360,24-Feb-10,80,7.6,SarbakanInc.,"Action,General,General",No info,16,15
The Bigs 2,PlayStation3,7-Jul-09,80,7.8,BlueCastleGames,"Sports,Traditional,Team,Baseball,Arcade,Arcade",2,18,17
Superliminal,XboxOne,7-Jul-20,80,9.6,PillowCastleGames,"Adventure,3D,First-Person",No Online Multiplayer,8,1226
Life is Strange 2: Episode 1 - Roads,XboxOne,27-Sep-18,80,5.1,DONTNODEntertainment,"Action Adventure,General",No Online Multiplayer,14,58
Pro Evolution Soccer 2019,PC,28-Aug-18,80,5.8,Konami,"Sports,Team,Soccer,Sim",Up to 22 ,8,133
Cities: Skylines - Natural Disasters,PC,29-Nov-16,80,6.1,ColossalOrder,"Strategy,Management,Government",No info,11,17
The Evil Within: The Assignment,PlayStation4,10-Mar-15,80,8.2,TangoGameworks,"Action Adventure,Survival",No info,15,201
Wargame: AirLand Battle,PC,29-May-13,80,8,EugenSystems,"Strategy,Real-Time,Historic,Historic,Tactics",No info,22,256
Football Manager 2015,PC,7-Nov-14,80,6.1,SportsInteractive,"Sports,Traditional,Team,Soccer,Management",No info,36,167
TrackMania United,PC,17-Nov-06,80,8.8,Nadeo,"Driving,Racing,Arcade,Arcade,Automobile",32  Online,27,159
The Suffering,PC,8-Jun-04,80,8.1,SurrealSoftware,"Action Adventure,Horror,Horror,Survival",1 Player,26,94
Pac-Man Championship Edition 2 Plus,Switch,22-Feb-18,80,7.7,BandaiNamcoGames,"Action,Arcade",No Online Multiplayer,33,31
MLB,PSP,12-Apr-05,80,7.9,989Sports,"Sports,Traditional,Team,Baseball,Sim,Sim",2  Online,26,19
Pro Evolution Soccer 2014,Xbox360,24-Sep-13,80,4.2,Konami,"Sports,Traditional,Team,Soccer,Sim,Sim",No info,23,115
Tom Clancy's The Division,PlayStation4,8-Mar-16,80,7,MassiveEntertainment,"Shooter,Modern,Modern,Action,Shooter,Third-Person,Tactical,Arcade",Up to 24 ,63,2529
Dead or Alive 5 Plus,PlayStationVita,19-Mar-13,80,8.1,TeamNinja,"Action,Fighting,Fighting,3D,3D",2,36,87
Lumines Remastered,PlayStation4,26-Jun-18,80,4.4,EnhanceGames,"Puzzle,Matching",No Online Multiplayer,16,8
Gish,PC,17-Sep-04,80,7.1,ChronicLogic,"Action,Platformer,Platformer,2D,2D",2-Jan,11,59
Arise: A Simple Story,XboxOne,3-Dec-19,80,7.8,Piccolo,"Action,General",No Online Multiplayer,10,36
Downwell,PlayStation4,24-May-16,80,7.1,Moppin,"Action,General",No info,14,43
Axiom Verge,PC,14-May-15,80,7.7,TomHapp,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,11,98
Dark Souls II: Crown of the Sunken King,Xbox360,22-Jul-14,80,8.1,NamcoBandaiGames,"Role-Playing,Action RPG",No info,8,61
LEGO Star Wars: The Complete Saga,DS,6-Nov-07,80,6.2,TTFusion,"Action,Miscellaneous,Action Adventure,Sci-Fi,General,Compilation",No Online Multiplayer,9,69
Rabi-Ribi,PlayStation4,1-Sep-17,80,7.2,CreSpirit,"Action,Platformer,2D",No Online Multiplayer,11,21
