name,platform,r-date,score,user score,developer,genre,players,critics,users
Grand Theft Auto: San Andreas,PlayStation2,26-Oct-04,95,9.1,RockstarNorth,"Action Adventure,Modern",2-Jan,80,2444
Grand Theft Auto: Vice City,PlayStation2,27-Oct-02,95,8.8,RockstarNorth,"Action Adventure,Modern",1 Player,62,1092
LittleBigPlanet,PlayStation3,27-Oct-08,95,6.8,"SCE/WWS,MediaMolecule","Action,Platformer,Platformer,3D,2D,3D",Up to 4 ,85,5533
The Legend of Zelda Collector's Edition,GameCube,17-Nov-03,95,9,Nintendo,"Action Adventure,Fantasy",1 Player,8,194
Red Dead Redemption,PlayStation3,18-May-10,95,8.9,RockstarSanDiego,"Action,Shooter,Third-Person,Historic,Action Adventure,Historic,Historic,Open-World",Up to 16 ,73,3371
Gran Turismo 3: A-Spec,PlayStation2,9-Jul-01,95,8.4,PolyphonyDigital,"Driving,Racing,GT / Street",2-Jan,54,386
Halo 2,Xbox,9-Nov-04,95,8.4,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",16-Jan,91,1656
The Legend of Zelda: A Link to the Past,GameBoyAdvance,3-Dec-02,95,9,Capcom,"Action Adventure,Fantasy",No info,30,524
The Legend of Zelda: Majora's Mask,Nintendo64,25-Oct-00,95,9.2,Nintendo,"Action Adventure,Fantasy",1 Player,27,1198
The Last of Us,PlayStation3,14-Jun-13,95,9.2,NaughtyDog,"Modern,Adventure,General,Action Adventure,General,Modern",Up to 8 ,98,11982
The Legend of Zelda: Twilight Princess,Wii,19-Nov-06,95,8.9,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,73,2060
Madden NFL 2003,PlayStation2,12-Aug-02,95,7.5,EASports,"Sports,Traditional,Football,Sim",2-Jan,25,66
Tony Hawk's Pro Skater 2,GameBoyAdvance,30-May-01,95,6.8,VicariousVisions,"Sports,Alternative,Skateboarding",No info,16,38
Persona 5 Royal,PlayStation4,31-Mar-20,95,8.2,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer,71,2593
The Last of Us Remastered,PlayStation4,29-Jul-14,95,9.2,NaughtyDog,"Action Adventure,General,Modern",Up to 8 ,70,14563
Portal 2,PC,18-Apr-11,95,9.1,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,52,7482
Red Dead Redemption,Xbox360,18-May-10,95,9,RockstarSanDiego,"Action,Action Adventure,Shooter,Historic,Historic,Open-World,Third-Person,Historic",Up to 16 ,96,2847
Portal 2,Xbox360,19-Apr-11,95,8.7,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2,66,1073
Metal Gear Solid V: The Phantom Pain,XboxOne,1-Sep-15,95,7.4,"KojimaProductions,MobyDickStudio","Modern,Modern,Action Adventure,Open-World",Up to 16 ,10,1173
Portal 2,PlayStation3,19-Apr-11,95,8.5,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2,54,1030
World of Goo,Wii,13-Oct-08,94,8.7,2DBoy,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",4-Jan,21,378
The Elder Scrolls V: Skyrim,PC,10-Nov-11,94,8.3,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,32,11301
BioShock Infinite,PlayStation3,26-Mar-13,94,8.5,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,27,2207
Final Fantasy IX,PlayStation,13-Nov-00,94,9,SquareSoft,"Role-Playing,Console-style RPG",1 Player,22,1280
Call of Duty: Modern Warfare 2,PlayStation3,10-Nov-09,94,6.6,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,67,2362
God of War,PlayStation4,20-Apr-18,94,9.2,SCESantaMonica,"Action Adventure,Linear",No Online Multiplayer,118,16298
Tony Hawk's Pro Skater 4,PlayStation2,23-Oct-02,94,8.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",8-Jan,27,182
Devil May Cry,PlayStation2,16-Oct-01,94,8.6,Capcom,"Action Adventure,Fantasy",1 Player,37,790
Call of Duty 4: Modern Warfare,PlayStation3,5-Nov-07,94,8.4,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,44,1170
Madden NFL 2002,PlayStation2,19-Aug-01,94,7.3,EASports,"Sports,Traditional,Football,Sim",8-Jan,23,49
Batman: Arkham City,Xbox360,18-Oct-11,94,8.7,RocksteadyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,87,1682
Mass Effect 2,PC,26-Jan-10,94,8.9,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,55,4972
The Legend of Zelda: Ocarina of Time 3D,3DS,19-Jun-11,94,9,GREZZO,"Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World",No Online Multiplayer,85,1625
Chrono Cross,PlayStation,15-Aug-00,94,8.8,SquareSoft,"Role-Playing,Console-style RPG",1 Player,16,412
Celeste,XboxOne,26-Jan-18,94,7.1,MattMakesGamesInc.,"Action,Platformer,2D",No Online Multiplayer,10,268
BioShock,PlayStation3,21-Oct-08,94,8.8,"DigitalExtremes,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,51,1136
Mass Effect 2,PlayStation3,17-Jan-11,94,8.6,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,62,1243
Grand Theft Auto: Vice City,PC,12-May-03,94,8.8,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,30,2435
Madden NFL 2004,PlayStation2,12-Aug-03,94,8.2,EATiburon,"Sports,Traditional,Football,Sim",8-Jan,29,147
Gears of War,Xbox360,7-Nov-06,94,8.3,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",8  Online,88,2653
The Elder Scrolls IV: Oblivion,Xbox360,20-Mar-06,94,8.7,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,90,1257
Sid Meier's Civilization II,PC,29-Feb-96,94,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",1 Player,7,450
Quake,PC,22-Jun-96,94,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",16-Jan,9,813
Call of Duty 4: Modern Warfare,Xbox360,5-Nov-07,94,8.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,70,1467
BioShock Infinite,PC,25-Mar-13,94,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,68,8729
Halo 3,Xbox360,25-Sep-07,94,8,"BungieSoftware,Bungie","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",4-Jan,86,4729
Ninja Gaiden Black,Xbox,20-Sep-05,94,8.8,TeamNinja,"Action Adventure,Fantasy",1 Player,32,177
The Elder Scrolls IV: Oblivion,PC,20-Mar-06,94,8.1,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,54,3069
Street Fighter IV,PlayStation3,17-Feb-09,94,7.4,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2  Online,61,391
Super Mario Advance 4: Super Mario Bros. 3,GameBoyAdvance,21-Oct-03,94,8.9,Nintendo,"Action,Platformer,2D",4-Jan,25,203
Jet Grind Radio,Dreamcast,30-Oct-00,94,8.1,Smilebit,"Action,Platformer,3D",No info,24,89
Metal Gear Solid,PlayStation,21-Oct-98,94,9.2,KCEJ,"Action Adventure,Modern",1 Player,20,1584
Grim Fandango,PC,14-Oct-98,94,9.1,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",No Online Multiplayer,15,685
Tom Clancy's Splinter Cell Chaos Theory,Xbox,28-Mar-05,94,9,UbisoftMontreal,"Action Adventure,Modern",4  Online,70,218
Burnout 3: Takedown,Xbox,7-Sep-04,94,7.7,CriterionGames,"Driving,Racing,Arcade",8  Online,76,182
Diablo,PC,31-Dec-96,94,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4 ,12,1161
Metal Gear Solid 3: Subsistence,PlayStation2,14-Mar-06,94,9.1,Aspect,"Action Adventure,Modern",8  Online,53,657
Call of Duty: Modern Warfare 2,Xbox360,10-Nov-09,94,6.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,100,2957
Metal Gear Solid 4: Guns of the Patriots,PlayStation3,12-Jun-08,94,8.8,KojimaProductions,"Action Adventure,Modern,General,Modern",Up to 16 ,82,4088
NCAA Football 2004,PlayStation2,16-Jul-03,94,8.3,EASports,"Sports,Traditional,Football,Sim",8-Jan,15,86
God of War,PlayStation2,22-Mar-05,94,8.9,SCESantaMonica,"Action Adventure,Fantasy",1 Player,75,1679
Star Wars: Knights of the Old Republic,Xbox,17-Jul-03,94,9.1,BioWare,"Role-Playing,Third-Person",1 Player,72,409
Sid Meier's Civilization IV,PC,25-Oct-05,94,8.3,FiraxisGames,"Strategy,Turn-Based,Historic,Historic,4X",Online Multiplayer,50,1070
Madden NFL 2004,GameCube,12-Aug-03,94,7.1,EATiburon,"Sports,Traditional,Football,Sim",4-Jan,19,25
Virtua Fighter 4,PlayStation2,17-Mar-02,94,8.1,SegaAM2,"Action,Fighting,3D",2-Jan,36,95
Super Mario 64,Nintendo64,26-Sep-96,94,9.2,Nintendo,"Action,Platformer,3D",1 Player,13,1274
The Witcher 3: Wild Hunt,PC,18-May-15,93,9.4,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",No Online Multiplayer,32,17537
Burnout 3: Takedown,PlayStation2,7-Sep-04,93,9,CriterionGames,"Driving,Racing,Arcade",16-Jan,52,385
Super Smash Bros. Brawl,Wii,9-Mar-08,93,8.8,GameArts,"Action,Fighting,Fighting,3D,2D,3D",Up to 4 ,81,2022
Company of Heroes,PC,13-Sep-06,93,8.8,Relic,"Strategy,Real-Time,Historic,General,Historic",8  Online,55,1336
Gran Turismo 2,PlayStation,30-Nov-99,93,9,PolyphonyDigital,"Driving,Racing,GT / Street",2-Jan,23,246
The Last of Us Part II,PlayStation4,19-Jun-20,93,5.7,NaughtyDog,"General,Action Adventure,Survival",No Online Multiplayer,121,146262
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,23-Mar-04,93,8.6,UbisoftShanghai,"Action Adventure,Modern",4-Jan,74,95
Grand Theft Auto: Chinatown Wars,DS,17-Mar-09,93,8.3,RockstarLeeds,"Action Adventure,Modern,Modern,Open-World",No info,85,334
Divinity: Original Sin II - Definitive Edition,Switch,4-Sep-19,93,8.6,"LarianStudiosGames,BlitWorks,TheDragonCommanders","Role-Playing,Western-Style",Up to 4 ,17,279
Pac-Man Championship Edition DX,Xbox360,17-Nov-10,93,7.6,NamcoBandaiGames,"Adventure,General,Action,General,General,Arcade",No info,43,140
Street Fighter Alpha 3,PlayStation,30-Apr-99,93,8.5,Capcom,"Action,Fighting,2D",2-Jan,12,88
Tony Hawk's Pro Skater 3,Xbox,4-Mar-02,93,7.6,NeversoftEntertainment,"Sports,Alternative,Skateboarding",4-Jan,22,21
Hades,Switch,17-Sep-20,93,9.1,SupergiantGames,"Action Adventure,General,Linear",No Online Multiplayer,42,210
Half-Life: Alyx,PC,23-Mar-20,93,9.1,ValveSoftware,"Action,First-Person,Shooter,Arcade",No Online Multiplayer,68,2104
Divinity: Original Sin II,PC,14-Sep-17,93,8.8,LarianStudiosGames,"Action RPG,Role-Playing,Western-Style",Up to 4 ,72,1946
Unreal Tournament 2004,PC,16-Mar-04,93,8.8,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Jan-32,48,719
BioShock Infinite,Xbox360,26-Mar-13,93,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,33,1814
Braid,Xbox360,6-Aug-08,93,8.5,NumberNoneInc.,"Action,Platformer,Platformer,2D,2D",1 Player,57,464
God of War II,PlayStation2,13-Mar-07,93,8.9,SCESantaMonica,"Action Adventure,Fantasy",1 Player,70,1215
Super Mario 3D World,WiiU,22-Nov-13,93,8.9,Nintendo,"Platformer,3D,Action,Platformer,3D",No Online Multiplayer,83,2001
Ori and the Will of the Wisps,Switch,17-Sep-20,93,8.9,MoonStudios,"Action,Platformer,2D",No Online Multiplayer,20,145
Starcraft II: Wings of Liberty,PC,27-Jul-10,93,8.3,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Command",Up to 4 ,82,3477
SSX,PlayStation2,30-Oct-00,93,8.2,EASportsBig,"Sports,Alternative,Snowboarding",2-Jan,35,55
Street Fighter IV,Xbox360,17-Feb-09,93,7.3,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2  Online,77,322
Minecraft,PC,18-Nov-11,93,7.9,MojangAB,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",Up to 10 ,33,5818
Undertale,Switch,18-Sep-18,93,8,"tobyfox,8-4","Role-Playing,Japanese-Style",No Online Multiplayer,8,353
Persona 4 Golden,PlayStationVita,20-Nov-12,93,8.6,Atlus,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",Up to 40 ,61,1700
Persona 5,PlayStation4,4-Apr-17,93,8.7,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer,98,4717
Red Dead Redemption 2,PC,5-Nov-19,93,5.5,RockstarGames,"Action Adventure,Open-World",Up to 32 ,44,3546
SSX 3,PlayStation2,20-Oct-03,93,8.8,EACanada,"Sports,Alternative,Snowboarding",2-Jan,41,178
Tom Clancy's Splinter Cell,Xbox,17-Nov-02,93,8.6,UbisoftMontreal,"Action Adventure,Modern",1 Player,46,142
Grand Theft Auto III,PC,20-May-02,93,8.3,"DMADesign,RockstarNorth","Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,20,1254
Quake III Arena,Dreamcast,22-Oct-00,93,8.3,Raster,"Action,Shooter,First-Person,Sci-Fi",No info,25,75
Homeworld,PC,31-Aug-99,93,8.8,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",8-Jan,20,383
Okami,PlayStation2,19-Sep-06,93,9.1,CloverStudio,"Action Adventure,Fantasy",1 Player,69,470
The Elder Scrolls IV: Oblivion,PlayStation3,20-Mar-07,93,8.1,4JStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,45,672
Fallout 3,Xbox360,28-Oct-08,93,8.5,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,84,1855
Gears of War 2,Xbox360,7-Nov-08,93,7.8,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",2-Jan,90,3060
SoulCalibur II,GameCube,27-Aug-03,93,8.9,Namco,"Action,Fighting,3D",2-Jan,45,185
World Soccer Winning Eleven 6 International,PlayStation2,11-Mar-03,93,8.3,KCET,"Sports,Traditional,Soccer,Sim",8-Jan,24,78
NFL 2K3,PlayStation2,12-Aug-02,93,7.3,VisualConcepts,"Sports,Traditional,Football,Sim",2-Jan,20,26
Mass Effect 3,Xbox360,6-Mar-12,93,5.9,BioWare,"Role-Playing,Action RPG,Action RPG",Up to 4 ,74,3740
Metal Gear Solid V: The Phantom Pain,PlayStation4,1-Sep-15,93,8.2,"KojimaProductions,MobyDickStudio","Modern,Action Adventure,Modern,Open-World",Up to 16 ,86,5583
Skies of Arcadia,Dreamcast,13-Nov-00,93,8.9,Overworks,"Role-Playing,Console-style RPG",No info,21,125
The Legend of Zelda: Skyward Sword,Wii,20-Nov-11,93,8.1,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,81,2401
Mario Kart Super Circuit,GameBoyAdvance,26-Aug-01,93,7.9,IntelligentSystems,"Driving,Racing,Kart",4-Jan,24,190
Rock Band 3,Xbox360,26-Oct-10,93,8,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",No info,57,148
